,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,05/03,1.0,,,,
2,06/03,2.0,,,,
3,07/03,2.0,,,,
4,08/03,3.0,,,,
5,09/03,3.0,,,,
6,10/03,3.0,,,,
7,11/03,3.0,,,,
8,12/03,15.0,,,,
9,13/03,15.0,,,,
10,14/03,15.0,,,,
11,15/03,24.0,,,,
12,16/03,25.0,,,,
13,17/03,25.0,,,,
14,18/03,63.0,,,,
15,19/03,66.0,,,,
16,20/03,66.0,,,,
17,21/03,119.0,,,,
18,22/03,186.0,,,,
19,23/03,233.0,,,,
20,24/03,305.0,,,,
21,25/03,370.0,,,,
22,26/03,421.0,,,,
23,27/03,493.0,,,,
24,28/03,558.0,,,,
25,29/03,600.0,,,,
26,30/03,657.0,,,,
27,31/03,708.0,,,,
28,01/04,832.0,,,,
29,02/04,992.0,,,,
30,03/04,1074.0,,,,
31,04/04,1246.0,,,,
32,05/04,1394.0,,,,
33,06/04,1461.0,,,,
34,07/04,1688.0,,,,
35,08/04,1938.0,,,,
36,09/04,2216.0,,,,
37,10/04,2464.0,,,,
38,11/04,2607.0,,,,
39,12/04,2855.0,,,,
40,13/04,3221.0,,,,
41,14/04,3410.0,,,,
42,15/04,3743.0,,,,
43,16/04,3944.0,,,,
44,17/04,4349.0,,,,
45,18/04,4543.0,,,,
46,19/04,4675.0,,,,
47,20/04,4899.0,,,,
48,21/04,5306.0,,,,
49,22/04,5552.0,,,,
50,23/04,6172.0,,,,
51,24/04,6282.0,,,,
52,25/04,6828.0,,,,
53,26/04,7111.0,,,,
54,27/04,7944.0,,,,
55,28/04,8504.0,,,,
56,29/04,8869.0,,,,
57,30/04,9453.0,,,,
58,01/05,10166.0,,,,
59,02/05,10546.0,,,,
60,03/05,11139.0,,,,
61,04/05,11721.0,,,,
62,05/05,12391.0,,,,
63,06/05,13295.0,,,,
64,07/05,14156.0,,,,
65,08/05,15741.0,,,,
66,09/05,16929.0,,,,
67,10/05,17062.0,,,,
68,11/05,17939.0,,,,
69,12/05,18486.0,,,,
70,13/05,18728.0,,,,
71,14/05,19467.0,,,,
72,15/05,19987.0,,,,
73,16/05,21601.0,,,,
74,17/05,22238.0,,,,
75,18/05,26665.0,,,,
76,19/05,27805.0,,,,
77,20/05,30372.0,,,,
78,21/05,32089.0,,,,
79,22/05,33589.0,,,,
80,23/05,34533.0,,,,
81,24/05,37912.0,,,,
82,25/05,39298.0,,,,
0,26/05,42089.0554826194,41490.5274884438,42687.583476794905,41173.6859072839,43004.425057954904
1,27/05,44166.4895708549,43306.9787976994,45026.0003440103,42851.9812787184,45480.9978629914
2,28/05,46134.3934566842,44692.336800023,47576.4501133454,43928.9581182153,48339.828795153095
3,29/05,48102.2973425136,46137.9758356614,50066.6188493657,45098.126842474696,51106.4678425524
4,30/05,50070.2012283429,47592.7576791849,52547.644777500995,46281.278284756605,53859.1241719292
5,31/05,52038.10511417231,49041.6233274295,55034.586900915,47455.3816871596,56620.8285411849
6,01/06,54006.0090000016,50478.4090105411,57533.608989462096,48611.01037716559,59401.0076228376
