,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,05/03,1.0,,,,
2,06/03,2.0,,,,
3,07/03,2.0,,,,
4,08/03,3.0,,,,
5,09/03,3.0,,,,
6,10/03,3.0,,,,
7,11/03,3.0,,,,
8,12/03,15.0,,,,
9,13/03,15.0,,,,
10,14/03,15.0,,,,
11,15/03,24.0,,,,
12,16/03,25.0,,,,
13,17/03,25.0,,,,
14,18/03,63.0,,,,
15,19/03,66.0,,,,
16,20/03,66.0,,,,
17,21/03,119.0,,,,
18,22/03,186.0,,,,
19,23/03,233.0,,,,
20,24/03,305.0,,,,
21,25/03,370.0,,,,
22,26/03,421.0,,,,
23,27/03,493.0,,,,
24,28/03,558.0,,,,
25,29/03,600.0,,,,
26,30/03,657.0,,,,
27,31/03,708.0,,,,
28,01/04,832.0,,,,
29,02/04,992.0,,,,
30,03/04,1074.0,,,,
31,04/04,1246.0,,,,
32,05/04,1394.0,,,,
33,06/04,1461.0,,,,
34,07/04,1688.0,,,,
35,08/04,1938.0,,,,
36,09/04,2216.0,,,,
37,10/04,2464.0,,,,
38,11/04,2607.0,,,,
39,12/04,2855.0,,,,
40,13/04,3221.0,,,,
41,14/04,3410.0,,,,
42,15/04,3743.0,,,,
43,16/04,3944.0,,,,
44,17/04,4349.0,,,,
45,18/04,4543.0,,,,
46,19/04,4675.0,,,,
47,20/04,4899.0,,,,
48,21/04,5306.0,,,,
49,22/04,5552.0,,,,
50,23/04,6172.0,,,,
51,24/04,6282.0,,,,
52,25/04,6828.0,,,,
53,26/04,7111.0,,,,
54,27/04,7944.0,,,,
55,28/04,8504.0,,,,
56,29/04,8869.0,,,,
57,30/04,9453.0,,,,
58,01/05,10166.0,,,,
59,02/05,10546.0,,,,
60,03/05,11139.0,,,,
61,04/05,11721.0,,,,
62,05/05,12391.0,,,,
63,06/05,13295.0,,,,
64,07/05,14156.0,,,,
65,08/05,15741.0,,,,
0,09/05,16849.2856309753,16653.644424351998,17044.9268375985,16550.078225528,17148.4930364225
1,10/05,18271.461579125502,17944.1047223123,18598.8184359386,17770.812470111003,18772.1106881399
2,11/05,19486.9579354317,18959.0884787237,20014.8273921396,18679.6512678715,20294.2646029918
3,12/05,20838.5414895503,20104.6185071314,21572.4644719693,19716.1031486818,21960.979830418797
4,13/05,22100.5190731752,21125.1191674621,23075.9189788883,20608.7736474584,23592.264498892004
5,14/05,23421.4972834365,22190.5895398352,24652.4050270378,21538.9863407537,25304.0082261194
6,15/05,24703.6268106881,23193.3418191127,26213.9118022635,22393.8452385191,27013.408382857004
