dt_notificacao,acumulado_mortes
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,5
2020-04-07,5
2020-04-08,6
2020-04-09,7
2020-04-10,9
2020-04-11,11
2020-04-12,14
2020-04-13,14
2020-04-14,21
2020-04-15,21
2020-04-16,26
2020-04-17,32
2020-04-18,33
2020-04-19,34
2020-04-20,35
2020-04-21,38
2020-04-22,43
2020-04-23,53
2020-04-24,86
2020-04-25,95
2020-04-26,114
2020-04-27,122
2020-04-28,132
2020-04-29,156
2020-04-30,224
2020-05-01,263
2020-05-02,306
2020-05-03,317
2020-05-04,344
2020-05-05,375
2020-05-06,410
2020-05-07,488
2020-05-08,574
2020-05-09,610
2020-05-10,672
2020-05-11,812
2020-05-12,914
2020-05-13,1022
2020-05-14,1095
2020-05-15,1175
2020-05-16,1223
2020-05-17,1280
