dt_notificacao,acumulado_mortes
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,3
2020-03-27,3
2020-03-28,4
2020-03-29,5
2020-03-30,5
2020-03-31,7
2020-04-01,9
2020-04-02,21
2020-04-03,22
2020-04-04,23
2020-04-05,35
2020-04-06,35
2020-04-07,40
2020-04-08,57
2020-04-09,57
2020-04-10,67
2020-04-11,74
2020-04-12,76
2020-04-13,101
2020-04-14,111
2020-04-15,124
2020-04-16,135
2020-04-17,155
2020-04-18,180
2020-04-19,189
2020-04-20,206
2020-04-21,221
2020-04-22,239
2020-04-23,271
2020-04-24,293
2020-04-25,326
2020-04-26,376
2020-04-27,397
2020-04-28,417
2020-04-29,450
2020-04-30,492
2020-05-01,539
2020-05-02,638
2020-05-03,677
2020-05-04,712
2020-05-05,795
2020-05-06,849
2020-05-07,903
2020-05-08,997
2020-05-09,1062
2020-05-10,1114
2020-05-11,1189
2020-05-12,1280
2020-05-13,1389
2020-05-14,1413
2020-05-15,1566
2020-05-16,1614
2020-05-17,1641
2020-05-18,1748
2020-05-19,1856
