dt_notificacao,acumulado_mortes
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,2
2020-04-05,2
2020-04-06,4
2020-04-07,11
2020-04-08,12
2020-04-09,16
2020-04-10,21
2020-04-11,24
2020-04-12,27
2020-04-13,32
2020-04-14,34
2020-04-15,37
2020-04-16,40
2020-04-17,44
2020-04-18,48
2020-04-19,54
2020-04-20,60
2020-04-21,66
2020-04-22,76
2020-04-23,88
2020-04-24,100
2020-04-25,112
2020-04-26,125
2020-04-27,145
2020-04-28,166
2020-04-29,184
2020-04-30,204
2020-05-01,224
2020-05-02,237
2020-05-03,249
2020-05-04,271
2020-05-05,291
2020-05-06,305
2020-05-07,330
2020-05-08,355
2020-05-09,379
2020-05-10,399
2020-05-11,423
2020-05-12,444
2020-05-13,470
2020-05-14,496
2020-05-15,524
2020-05-16,549
2020-05-17,576
2020-05-18,604
2020-05-19,634
2020-05-20,663
2020-05-21,693
2020-05-22,722
2020-05-23,754
2020-05-24,784
2020-05-25,817
