dt_notificacao,acumulado_mortes
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,4
2020-04-03,4
2020-04-04,4
2020-04-05,4
2020-04-06,4
2020-04-07,5
2020-04-08,6
2020-04-09,7
2020-04-10,7
2020-04-11,7
2020-04-12,7
2020-04-13,8
2020-04-14,8
2020-04-15,8
2020-04-16,8
2020-04-17,9
2020-04-18,10
2020-04-19,12
2020-04-20,14
2020-04-21,15
2020-04-22,15
2020-04-23,16
2020-04-24,17
2020-04-25,18
2020-04-26,20
2020-04-27,21
2020-04-28,24
2020-04-29,24
2020-04-30,24
2020-05-01,26
2020-05-02,28
2020-05-03,28
2020-05-04,29
2020-05-05,30
2020-05-06,35
2020-05-07,37
2020-05-08,38
2020-05-09,42
2020-05-10,45
2020-05-11,49
2020-05-12,57
2020-05-13,60
2020-05-14,60
2020-05-15,65
2020-05-16,72
2020-05-17,80
2020-05-18,85
2020-05-19,87
2020-05-20,91
2020-05-21,93
2020-05-22,99
2020-05-23,107
2020-05-24,110
2020-05-25,119
