,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,2.0,,,,
2,13/03,2.0,,,,
3,14/03,7.0,,,,
4,15/03,8.0,,,,
5,16/03,8.0,,,,
6,17/03,18.0,,,,
7,18/03,19.0,,,,
8,19/03,28.0,,,,
9,20/03,31.0,,,,
10,21/03,33.0,,,,
11,22/03,37.0,,,,
12,23/03,42.0,,,,
13,24/03,42.0,,,,
14,25/03,46.0,,,,
15,26/03,48.0,,,,
16,27/03,57.0,,,,
17,28/03,68.0,,,,
18,29/03,73.0,,,,
19,30/03,77.0,,,,
20,31/03,87.0,,,,
21,01/04,95.0,,,,
22,02/04,106.0,,,,
23,03/04,136.0,,,,
24,04/04,176.0,,,,
25,05/04,201.0,,,,
26,06/04,223.0,,,,
27,07/04,352.0,,,,
28,08/04,401.0,,,,
29,09/04,555.0,,,,
30,10/04,684.0,,,,
31,11/04,816.0,,,,
32,12/04,960.0,,,,
33,13/04,1154.0,,,,
34,14/04,1284.0,,,,
35,15/04,1484.0,,,,
36,16/04,1683.0,,,,
37,17/04,2006.0,,,,
38,18/04,2193.0,,,,
39,19/04,2459.0,,,,
40,20/04,2690.0,,,,
41,21/04,2908.0,,,,
42,22/04,3298.0,,,,
43,23/04,3604.0,,,,
44,24/04,3999.0,,,,
45,25/04,4507.0,,,,
46,26/04,4898.0,,,,
47,27/04,5358.0,,,,
48,28/04,5724.0,,,,
49,29/04,6194.0,,,,
50,30/04,6876.0,,,,
0,01/05,7457.95987538822,7378.179209572199,7537.740541204241,7335.94587621248,7579.97387456396
1,02/05,8087.1274230988,7941.4293120292905,8232.825534168309,7864.301390975459,8309.953455222141
2,03/05,8694.01826598975,8461.02966945765,8927.00686252185,8337.69295666254,9050.34357531696
3,04/05,9311.42120475851,8981.685709866379,9641.15669965064,8807.134282727071,9815.70812678995
4,05/05,9923.86361814261,9485.53688761628,10362.1903486689,9253.50073272277,10594.2265035625
5,06/05,10538.6468408551,9982.4360665769,11094.8576151333,9687.995868465121,11389.2978132451
6,07/05,11152.325465186,10469.0311282818,11835.6198020901,10107.3169558302,12197.3339745418
