,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,11/03,1.0,,,,
5,12/03,2.0,,,,
6,13/03,2.0,,,,
7,14/03,4.0,,,,
8,15/03,4.0,,,,
9,16/03,6.0,,,,
10,17/03,14.0,,,,
11,18/03,19.0,,,,
12,19/03,29.0,,,,
13,20/03,38.0,,,,
14,21/03,55.0,,,,
15,22/03,83.0,,,,
16,23/03,128.0,,,,
17,24/03,130.0,,,,
18,25/03,133.0,,,,
19,26/03,153.0,,,,
20,27/03,189.0,,,,
21,28/03,205.0,,,,
22,29/03,231.0,,,,
23,30/03,261.0,,,,
24,31/03,275.0,,,,
25,01/04,314.0,,,,
26,02/04,370.0,,,,
27,03/04,397.0,,,,
28,04/04,430.0,,,,
29,05/04,498.0,,,,
30,06/04,525.0,,,,
31,07/04,559.0,,,,
32,08/04,614.0,,,,
33,09/04,655.0,,,,
34,10/04,698.0,,,,
35,11/04,750.0,,,,
36,12/04,806.0,,,,
37,13/04,815.0,,,,
38,14/04,884.0,,,,
39,15/04,903.0,,,,
40,16/04,958.0,,,,
41,17/04,1021.0,,,,
42,18/04,1077.0,,,,
43,19/04,1154.0,,,,
44,20/04,1189.0,,,,
45,21/04,1230.0,,,,
46,22/04,1283.0,,,,
47,23/04,1308.0,,,,
48,24/04,1419.0,,,,
49,25/04,1481.0,,,,
50,26/04,1548.0,,,,
51,27/04,1586.0,,,,
52,28/04,1649.0,,,,
53,29/04,1758.0,,,,
54,30/04,1827.0,,,,
55,01/05,1935.0,,,,
56,02/05,2023.0,,,,
57,03/05,2118.0,,,,
58,04/05,2347.0,,,,
59,05/05,2452.0,,,,
60,06/05,2605.0,,,,
61,07/05,2770.0,,,,
62,08/05,2943.0,,,,
63,09/05,3123.0,,,,
64,10/05,3237.0,,,,
65,11/05,3320.0,,,,
66,12/05,3435.0,,,,
67,13/05,3733.0,,,,
68,14/05,3950.0,,,,
69,15/05,4196.0,,,,
0,16/05,4411.03543853935,4364.43303544595,4457.63784163274,4339.76321343988,4482.3076636388205
1,17/05,4626.0708770787,4547.12732247296,4705.01443168443,4505.33712901991,4746.80462513748
2,18/05,4841.10631561804,4728.11534113549,4954.09729010059,4668.30153232415,5013.91109891194
3,19/05,5056.14175415739,4906.60089595585,5205.68261235893,4827.438747448739,5284.84476086604
4,20/05,5271.17719269674,5082.48520431199,5459.86918108149,4982.59769941026,5559.75668598322
5,21/05,5486.21263123609,5255.8224996403205,5716.602762831851,5133.86133109214,5838.563931380029
6,22/05,5701.24806977543,5426.70596947856,5975.79017007231,5281.37216053475,6121.12397901611
