,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,0,,,,
2,26/02,0,,,,
3,27/02,0,,,,
4,28/02,0,,,,
5,29/02,0,,,,
6,01/03,0,,,,
7,02/03,0,,,,
8,03/03,0,,,,
9,04/03,0,,,,
10,05/03,0,,,,
11,06/03,0,,,,
12,07/03,0,,,,
13,08/03,0,,,,
14,09/03,0,,,,
15,10/03,0,,,,
16,11/03,0,,,,
17,12/03,0,,,,
18,13/03,0,,,,
19,14/03,0,,,,
20,15/03,0,,,,
21,16/03,0,,,,
22,17/03,1,,,,
23,18/03,3,,,,
24,19/03,7,,,,
25,20/03,11,,,,
26,21/03,18,,,,
27,22/03,25,,,,
28,23/03,34,,,,
29,24/03,47,,,,
30,25/03,59,,,,
31,26/03,77,,,,
32,27/03,93,,,,
33,28/03,115,,,,
34,29/03,137,,,,
35,30/03,166,,,,
36,31/03,202,,,,
37,01/04,244,,,,
38,02/04,305,,,,
39,03/04,365,,,,
40,04/04,445,,,,
41,05/04,496,,,,
42,06/04,569,,,,
43,07/04,691,,,,
44,08/04,826,,,,
45,09/04,959,,,,
46,10/04,1073,,,,
47,11/04,1141,,,,
48,12/04,1237,,,,
49,13/04,1350,,,,
50,14/04,1557,,,,
51,15/04,1760,,,,
52,16/04,1962,,,,
53,17/04,2173,,,,
54,18/04,2375,,,,
55,19/04,2491,,,,
56,20/04,2598,,,,
57,21/04,2772,,,,
58,22/04,2940,,,,
59,23/04,3349,,,,
60,24/04,3722,,,,
61,25/04,4074,,,,
62,26/04,4301,,,,
63,27/04,4606,,,,
64,28/04,5092,,,,
65,29/04,5534,,,,
66,30/04,5980,,,,
67,01/05,6438,,,,
68,02/05,6808,,,,
69,03/05,7073,,,,
70,04/05,7381,,,,
71,05/05,7972,,,,
72,06/05,8597,,,,
73,07/05,9273,,,,
0,08/05,9949,9872.90494747356,10025.0950525264,9832.62265993555,10065.377340064399
1,09/05,10625,10454.8462897995,10795.1537102005,10364.7723565753,10885.2276434247
2,10/05,11301,11016.2783846175,11585.7216153825,10865.5558658948,11736.4441341052
3,11/05,11977,11560.2102321673,12393.7897678327,11339.5750566425,12614.4249433575
4,12/05,12653,12088.6639865779,13217.3360134221,11789.922546681799,13516.077453318201
5,13/05,13329,12603.0994636115,14054.9005363885,12218.8309315589,14439.1690684411
6,14/05,14005,13104.6311963088,14905.3688036912,12628.0047424676,15381.9952575324
