,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,11/03,1.0,,,,
5,12/03,2.0,,,,
6,13/03,2.0,,,,
7,14/03,4.0,,,,
8,15/03,4.0,,,,
9,16/03,6.0,,,,
10,17/03,14.0,,,,
11,18/03,19.0,,,,
12,19/03,29.0,,,,
13,20/03,38.0,,,,
14,21/03,55.0,,,,
15,22/03,83.0,,,,
16,23/03,128.0,,,,
17,24/03,130.0,,,,
18,25/03,133.0,,,,
19,26/03,153.0,,,,
20,27/03,189.0,,,,
21,28/03,205.0,,,,
22,29/03,231.0,,,,
23,30/03,261.0,,,,
24,31/03,275.0,,,,
25,01/04,314.0,,,,
26,02/04,370.0,,,,
27,03/04,397.0,,,,
28,04/04,430.0,,,,
29,05/04,498.0,,,,
30,06/04,525.0,,,,
31,07/04,559.0,,,,
32,08/04,614.0,,,,
33,09/04,655.0,,,,
34,10/04,698.0,,,,
35,11/04,750.0,,,,
36,12/04,806.0,,,,
37,13/04,815.0,,,,
38,14/04,884.0,,,,
39,15/04,903.0,,,,
40,16/04,958.0,,,,
41,17/04,1021.0,,,,
42,18/04,1077.0,,,,
43,19/04,1154.0,,,,
44,20/04,1189.0,,,,
45,21/04,1230.0,,,,
46,22/04,1283.0,,,,
47,23/04,1308.0,,,,
48,24/04,1419.0,,,,
49,25/04,1481.0,,,,
50,26/04,1548.0,,,,
51,27/04,1586.0,,,,
52,28/04,1649.0,,,,
53,29/04,1758.0,,,,
54,30/04,1827.0,,,,
55,01/05,1935.0,,,,
56,02/05,2023.0,,,,
57,03/05,2118.0,,,,
58,04/05,2347.0,,,,
59,05/05,2452.0,,,,
60,06/05,2605.0,,,,
61,07/05,2770.0,,,,
62,08/05,2943.0,,,,
63,09/05,3123.0,,,,
64,10/05,3237.0,,,,
65,11/05,3320.0,,,,
66,12/05,3435.0,,,,
67,13/05,3733.0,,,,
68,14/05,3950.0,,,,
0,15/05,4141.903766623979,4095.69595512529,4188.11157812266,4071.2350172917204,4212.57251595624
1,16/05,4333.80753324795,4257.02529712589,4410.58976937002,4216.37923656623,4451.235829929679
2,17/05,4525.71129987193,4417.36967073542,4634.05292900844,4360.01707667951,4691.405523064361
3,18/05,4717.6150664959105,4575.77286161185,4859.45727137997,4500.6861339934,4934.543998998421
4,19/05,4909.518833119891,4732.04692544463,5086.9907407951505,4638.098972489221,5180.938693750561
5,20/05,5101.42259974386,4886.187918130379,5316.65728135734,4772.24956018139,5430.59563930634
6,21/05,5293.32636636784,5038.247671971029,5548.40506076466,4903.217167735011,5683.43556500067
