,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,1.0,,,,
2,26/02,1.0,,,,
3,27/02,1.0,,,,
4,28/02,2.0,,,,
5,29/02,2.0,,,,
6,01/03,2.0,,,,
7,02/03,2.0,,,,
8,03/03,2.0,,,,
9,04/03,3.0,,,,
10,05/03,8.0,,,,
11,06/03,14.0,,,,
12,07/03,19.0,,,,
13,08/03,25.0,,,,
14,09/03,25.0,,,,
15,10/03,29.0,,,,
16,11/03,43.0,,,,
17,12/03,89.0,,,,
18,13/03,96.0,,,,
19,14/03,136.0,,,,
20,15/03,155.0,,,,
21,16/03,280.0,,,,
22,17/03,327.0,,,,
23,18/03,514.0,,,,
24,19/03,642.0,,,,
25,20/03,930.0,,,,
26,21/03,1132.0,,,,
27,22/03,1594.0,,,,
28,23/03,1952.0,,,,
29,24/03,2255.0,,,,
30,25/03,2565.0,,,,
31,26/03,2987.0,,,,
32,27/03,3476.0,,,,
33,28/03,3953.0,,,,
34,29/03,4303.0,,,,
35,30/03,4660.0,,,,
36,31/03,5824.0,,,,
37,01/04,6931.0,,,,
38,02/04,8098.0,,,,
39,03/04,9212.0,,,,
40,04/04,10381.0,,,,
41,05/04,11421.0,,,,
42,06/04,12261.0,,,,
43,07/04,14082.0,,,,
44,08/04,16255.0,,,,
45,09/04,18176.0,,,,
46,10/04,19937.0,,,,
47,11/04,20991.0,,,,
48,12/04,22456.0,,,,
49,13/04,23857.0,,,,
50,14/04,25775.0,,,,
51,15/04,29018.0,,,,
52,16/04,31101.0,,,,
53,17/04,34397.0,,,,
54,18/04,37175.0,,,,
55,19/04,39105.0,,,,
56,20/04,40921.0,,,,
57,21/04,43644.0,,,,
58,22/04,46423.0,,,,
59,23/04,50296.0,,,,
60,24/04,54209.0,,,,
61,25/04,59506.0,,,,
62,26/04,63221.0,,,,
63,27/04,67366.0,,,,
64,28/04,73600.0,,,,
65,29/04,79714.0,,,,
66,30/04,87126.0,,,,
67,01/05,92582.0,,,,
68,02/05,97430.0,,,,
0,03/05,102558.936200945,101782.244104186,103335.628297703,101371.088144221,103746.784257669
1,04/05,107687.872401889,106136.94312234699,109238.801681431,105315.930755375,110059.814048403
2,05/05,112816.808602834,110357.840828396,115275.776377271,109056.14191831,116577.475287357
3,06/05,117945.74480377801,114457.65037634,121433.839231216,112611.164724241,123280.324883315
4,07/05,123074.68100472301,118447.98112771,127701.380881736,115998.754159463,130150.60784998199
5,08/05,128203.61720566699,122338.01416487,134069.220246465,119232.951477764,137174.28293357
6,09/05,133332.553406612,126135.069537904,140530.03727531902,122324.951729671,144340.15508355302
