dt_notificacao,acumulado_confirmados
2020-03-12,6
2020-03-13,6
2020-03-14,6
2020-03-15,6
2020-03-16,6
2020-03-17,12
2020-03-18,14
2020-03-19,23
2020-03-20,36
2020-03-21,43
2020-03-22,54
2020-03-23,60
2020-03-24,70
2020-03-25,97
2020-03-26,106
2020-03-27,125
2020-03-28,137
2020-03-29,152
2020-03-30,160
2020-03-31,185
2020-04-01,229
2020-04-02,258
2020-04-03,307
2020-04-04,401
2020-04-05,445
2020-04-06,466
2020-04-07,511
2020-04-08,550
2020-04-09,621
2020-04-10,655
2020-04-11,688
2020-04-12,750
2020-04-13,768
2020-04-14,803
2020-04-15,816
2020-04-16,845
2020-04-17,887
2020-04-18,960
2020-04-19,1002
2020-04-20,1022
2020-04-21,1039
2020-04-22,1077
2020-04-23,1096
2020-04-24,1133
2020-04-25,1155
2020-04-26,1171
2020-04-27,1201
2020-04-28,1286
2020-04-29,1364
2020-04-30,1423
2020-05-01,1464
