dt_notificacao,acumulado_confirmados
2020-03-20,1
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,5
2020-03-25,5
2020-03-26,6
2020-03-27,6
2020-03-28,6
2020-03-29,6
2020-03-30,8
2020-03-31,9
2020-04-01,9
2020-04-02,10
2020-04-03,10
2020-04-04,11
2020-04-05,14
2020-04-06,18
2020-04-07,23
2020-04-08,26
2020-04-09,28
2020-04-10,32
2020-04-11,34
2020-04-12,42
2020-04-13,42
2020-04-14,69
2020-04-15,73
2020-04-16,92
2020-04-17,110
2020-04-18,128
2020-04-19,160
2020-04-20,199
2020-04-21,223
2020-04-22,223
2020-04-23,250
2020-04-24,290
2020-04-25,328
2020-04-26,364
2020-04-27,393
2020-04-28,413
2020-04-29,433
2020-04-30,502
2020-05-01,585
2020-05-02,654
2020-05-03,705
2020-05-04,756
2020-05-05,861
2020-05-06,943
2020-05-07,1098
2020-05-08,1222
2020-05-09,1263
2020-05-10,1302
2020-05-11,1398
2020-05-12,1460
2020-05-13,1612
2020-05-14,1686
2020-05-15,1794
2020-05-16,1918
