dt_notificacao,acumulado_confirmados
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,8
2020-03-15,14
2020-03-16,19
2020-03-17,19
2020-03-18,34
2020-03-19,42
2020-03-20,87
2020-03-21,108
2020-03-22,117
2020-03-23,138
2020-03-24,161
2020-03-25,195
2020-03-26,201
2020-03-27,241
2020-03-28,260
2020-03-29,298
2020-03-30,312
2020-03-31,333
2020-04-01,370
2020-04-02,400
2020-04-03,419
2020-04-04,456
2020-04-05,468
2020-04-06,485
2020-04-07,503
2020-04-08,509
2020-04-09,527
2020-04-10,556
2020-04-11,592
2020-04-12,618
2020-04-13,641
2020-04-14,651
2020-04-15,688
2020-04-16,727
2020-04-17,756
2020-04-18,796
2020-04-19,860
2020-04-20,875
2020-04-21,913
2020-04-22,959
2020-04-23,968
2020-04-24,1012
2020-04-25,1020
2020-04-26,1125
2020-04-27,1189
2020-04-28,1230
2020-04-29,1313
2020-04-30,1423
2020-05-01,1546
2020-05-02,1605
2020-05-03,1720
2020-05-04,1793
2020-05-05,1837
2020-05-06,2046
2020-05-07,2258
2020-05-08,2442
2020-05-09,2576
2020-05-10,2682
2020-05-11,2799
2020-05-12,2979
2020-05-13,3192
2020-05-14,3416
2020-05-15,3787
2020-05-16,4140
2020-05-17,4368
2020-05-18,4618
2020-05-19,4853
2020-05-20,5271
2020-05-21,5542
2020-05-22,5948
2020-05-23,6248
