,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,6.0,,,,
2,13/03,6.0,,,,
3,14/03,6.0,,,,
4,15/03,6.0,,,,
5,16/03,6.0,,,,
6,17/03,12.0,,,,
7,18/03,14.0,,,,
8,19/03,23.0,,,,
9,20/03,36.0,,,,
10,21/03,43.0,,,,
11,22/03,54.0,,,,
12,23/03,60.0,,,,
13,24/03,70.0,,,,
14,25/03,97.0,,,,
15,26/03,106.0,,,,
16,27/03,125.0,,,,
17,28/03,137.0,,,,
18,29/03,152.0,,,,
19,30/03,160.0,,,,
20,31/03,185.0,,,,
21,01/04,229.0,,,,
22,02/04,258.0,,,,
23,03/04,307.0,,,,
24,04/04,401.0,,,,
25,05/04,445.0,,,,
26,06/04,466.0,,,,
27,07/04,511.0,,,,
28,08/04,550.0,,,,
29,09/04,621.0,,,,
30,10/04,655.0,,,,
31,11/04,688.0,,,,
32,12/04,750.0,,,,
33,13/04,768.0,,,,
34,14/04,803.0,,,,
35,15/04,816.0,,,,
36,16/04,845.0,,,,
37,17/04,887.0,,,,
38,18/04,960.0,,,,
39,19/04,1002.0,,,,
40,20/04,1022.0,,,,
41,21/04,1039.0,,,,
42,22/04,1077.0,,,,
43,23/04,1096.0,,,,
44,24/04,1133.0,,,,
45,25/04,1155.0,,,,
46,26/04,1171.0,,,,
47,27/04,1201.0,,,,
48,28/04,1286.0,,,,
49,29/04,1364.0,,,,
50,30/04,1423.0,,,,
51,01/05,1464.0,,,,
52,02/05,1510.0,,,,
53,03/05,1533.0,,,,
54,04/05,1581.0,,,,
55,05/05,1608.0,,,,
56,06/05,1647.0,,,,
57,07/05,1678.0,,,,
58,08/05,1734.0,,,,
59,09/05,1809.0,,,,
60,10/05,1859.0,,,,
61,11/05,1873.0,,,,
62,12/05,1930.0,,,,
63,13/05,2023.0,,,,
64,14/05,2091.0,,,,
65,15/05,2167.0,,,,
66,16/05,2272.0,,,,
67,17/05,2316.0,,,,
68,18/05,2390.0,,,,
69,19/05,2519.0,,,,
70,20/05,2656.0,,,,
71,21/05,2855.0,,,,
72,22/05,2985.0,,,,
73,23/05,3147.0,,,,
74,24/05,3260.0,,,,
75,25/05,3384.0,,,,
76,26/05,3567.0,,,,
77,27/05,3768.0,,,,
0,28/05,3946.9231146163,3914.3119731269703,3979.53425610563,3897.0486776195503,3996.79755161305
1,29/05,4125.8462292326,4066.83710352014,4184.855354945061,4035.5995592857203,4216.09289917949
2,30/05,4304.7693438489005,4216.42473463886,4393.11395305894,4169.65792349309,4439.88076420471
3,31/05,4483.692458465201,4362.9424497746995,4604.4424671557,4299.021256362071,4668.36366056833
4,01/06,4662.6155730815,4506.54360360482,4818.68754255818,4423.92409363211,4901.3070525309
5,02/06,4841.5386876978,4647.406119535371,5035.671255860229,4544.63854567118,5138.43882972442
6,03/06,5020.4618023141,4785.69266770326,5255.23093692495,4661.41339498501,5379.51020964319
