,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,1.0,,,,
2,26/02,1.0,,,,
3,27/02,1.0,,,,
4,28/02,2.0,,,,
5,29/02,2.0,,,,
6,01/03,2.0,,,,
7,02/03,2.0,,,,
8,03/03,2.0,,,,
9,04/03,3.0,,,,
10,05/03,8.0,,,,
11,06/03,14.0,,,,
12,07/03,19.0,,,,
13,08/03,25.0,,,,
14,09/03,25.0,,,,
15,10/03,29.0,,,,
16,11/03,43.0,,,,
17,12/03,89.0,,,,
18,13/03,96.0,,,,
19,14/03,136.0,,,,
20,15/03,155.0,,,,
21,16/03,280.0,,,,
22,17/03,327.0,,,,
23,18/03,514.0,,,,
24,19/03,642.0,,,,
25,20/03,930.0,,,,
26,21/03,1132.0,,,,
27,22/03,1594.0,,,,
28,23/03,1952.0,,,,
29,24/03,2255.0,,,,
30,25/03,2565.0,,,,
31,26/03,2987.0,,,,
32,27/03,3476.0,,,,
33,28/03,3953.0,,,,
34,29/03,4303.0,,,,
35,30/03,4660.0,,,,
36,31/03,5824.0,,,,
37,01/04,6931.0,,,,
38,02/04,8098.0,,,,
39,03/04,9212.0,,,,
40,04/04,10381.0,,,,
41,05/04,11421.0,,,,
42,06/04,12261.0,,,,
43,07/04,14082.0,,,,
44,08/04,16255.0,,,,
45,09/04,18176.0,,,,
46,10/04,19937.0,,,,
47,11/04,20991.0,,,,
48,12/04,22456.0,,,,
49,13/04,23857.0,,,,
50,14/04,25775.0,,,,
51,15/04,29018.0,,,,
52,16/04,31101.0,,,,
53,17/04,34397.0,,,,
54,18/04,37175.0,,,,
55,19/04,39105.0,,,,
56,20/04,40921.0,,,,
57,21/04,43644.0,,,,
58,22/04,46423.0,,,,
59,23/04,50296.0,,,,
60,24/04,54209.0,,,,
61,25/04,59506.0,,,,
62,26/04,63221.0,,,,
63,27/04,67366.0,,,,
64,28/04,73600.0,,,,
65,29/04,79714.0,,,,
66,30/04,87126.0,,,,
67,01/05,92582.0,,,,
68,02/05,97430.0,,,,
69,03/05,101816.0,,,,
70,04/05,108777.0,,,,
71,05/05,116412.0,,,,
72,06/05,126957.0,,,,
73,07/05,136689.0,,,,
74,08/05,147093.0,,,,
75,09/05,157248.0,,,,
76,10/05,163509.0,,,,
77,11/05,169733.0,,,,
78,12/05,179345.0,,,,
79,13/05,191038.0,,,,
80,14/05,205172.0,,,,
81,15/05,220619.0,,,,
82,16/05,234575.0,,,,
83,17/05,242342.0,,,,
84,18/05,256901.0,,,,
85,19/05,274391.0,,,,
86,20/05,294544.0,,,,
87,21/05,312442.0,,,,
88,22/05,334557.0,,,,
89,23/05,351125.0,,,,
90,24/05,365766.0,,,,
91,25/05,378839.0,,,,
92,26/05,395166.0,,,,
93,27/05,414947.0,,,,
94,28/05,443703.0,,,,
95,29/05,470593.0,,,,
96,30/05,502913.0,,,,
97,31/05,516094.0,,,,
98,01/06,531056.0,,,,
99,02/06,562963.0,,,,
100,03/06,589048.0,,,,
101,04/06,620516.0,,,,
102,05/06,653103.0,,,,
103,06/06,676893.0,,,,
104,07/06,694880.0,,,,
105,08/06,712217.0,,,,
106,09/06,743917.0,,,,
107,10/06,777707.0,,,,
108,11/06,806393.0,,,,
109,12/06,830681.0,,,,
110,13/06,851779.0,,,,
111,14/06,868704.0,,,,
112,15/06,893285.0,,,,
113,16/06,930304.0,,,,
114,17/06,961229.0,,,,
115,18/06,986749.0,,,,
116,19/06,1042803.0,,,,
117,20/06,1071660.0,,,,
118,21/06,1088227.0,,,,
119,22/06,1114722.0,,,,
120,23/06,1154247.0,,,,
121,24/06,1195282.0,,,,
122,25/06,1235997.0,,,,
123,26/06,1281631.0,,,,
124,27/06,1318551.0,,,,
125,28/06,1350587.0,,,,
126,29/06,1372983.0,,,,
127,30/06,1412599.0,,,,
128,01/07,1453864.0,,,,
0,02/07,1494991.08173714,1489133.80931763,1500848.35415665,1486033.15659505,1503949.00687923
1,03/07,1533225.76482433,1523284.07116938,1543167.45847928,1518021.25645111,1548430.27319755
2,04/07,1568595.6650852,1555903.36729068,1581287.96287971,1549184.4706962,1588006.85947419
3,05/07,1602841.35245745,1588010.89234733,1617671.81256756,1580160.12099437,1625522.58392052
4,06/07,1637721.20677658,1620468.43575985,1654973.97779332,1611335.37047046,1664107.04308271
5,07/07,1673946.87022929,1653268.84717666,1694624.89328193,1642322.56298776,1705571.17747083
6,08/07,1711151.14036884,1685837.9005038,1736464.38023387,1672437.88075341,1749864.39998427
