,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,11/03,1.0,,,,
5,12/03,2.0,,,,
6,13/03,2.0,,,,
7,14/03,4.0,,,,
8,15/03,4.0,,,,
9,16/03,6.0,,,,
10,17/03,14.0,,,,
11,18/03,19.0,,,,
12,19/03,29.0,,,,
13,20/03,38.0,,,,
14,21/03,55.0,,,,
15,22/03,83.0,,,,
16,23/03,128.0,,,,
17,24/03,130.0,,,,
18,25/03,133.0,,,,
19,26/03,153.0,,,,
20,27/03,189.0,,,,
21,28/03,205.0,,,,
22,29/03,231.0,,,,
23,30/03,261.0,,,,
24,31/03,275.0,,,,
25,01/04,314.0,,,,
26,02/04,370.0,,,,
27,03/04,397.0,,,,
28,04/04,430.0,,,,
29,05/04,498.0,,,,
30,06/04,525.0,,,,
31,07/04,559.0,,,,
32,08/04,614.0,,,,
33,09/04,655.0,,,,
34,10/04,698.0,,,,
35,11/04,750.0,,,,
36,12/04,806.0,,,,
37,13/04,815.0,,,,
38,14/04,884.0,,,,
39,15/04,903.0,,,,
40,16/04,958.0,,,,
41,17/04,1021.0,,,,
42,18/04,1077.0,,,,
43,19/04,1154.0,,,,
44,20/04,1189.0,,,,
45,21/04,1230.0,,,,
46,22/04,1283.0,,,,
47,23/04,1308.0,,,,
48,24/04,1419.0,,,,
49,25/04,1481.0,,,,
50,26/04,1548.0,,,,
51,27/04,1586.0,,,,
52,28/04,1649.0,,,,
53,29/04,1758.0,,,,
54,30/04,1827.0,,,,
55,01/05,1935.0,,,,
56,02/05,2023.0,,,,
57,03/05,2118.0,,,,
58,04/05,2347.0,,,,
59,05/05,2452.0,,,,
60,06/05,2605.0,,,,
61,07/05,2770.0,,,,
62,08/05,2943.0,,,,
63,09/05,3123.0,,,,
64,10/05,3237.0,,,,
65,11/05,3320.0,,,,
66,12/05,3435.0,,,,
67,13/05,3733.0,,,,
68,14/05,3950.0,,,,
69,15/05,4196.0,,,,
70,16/05,4474.0,,,,
71,17/05,4611.0,,,,
72,18/05,4695.0,,,,
73,19/05,4977.0,,,,
74,20/05,5286.0,,,,
75,21/05,5596.0,,,,
76,22/05,5995.0,,,,
77,23/05,6338.0,,,,
78,24/05,6668.0,,,,
79,25/05,6962.0,,,,
80,26/05,7516.0,,,,
81,27/05,8011.0,,,,
82,28/05,8686.0,,,,
83,29/05,9232.0,,,,
84,30/05,9630.0,,,,
85,31/05,10464.0,,,,
86,01/06,10670.0,,,,
87,02/06,10939.0,,,,
88,03/06,12010.0,,,,
89,04/06,13034.0,,,,
90,05/06,13995.0,,,,
91,06/06,14939.0,,,,
92,07/06,15703.0,,,,
93,08/06,15883.0,,,,
94,09/06,16102.0,,,,
95,10/06,17501.0,,,,
96,11/06,18448.0,,,,
97,12/06,20106.0,,,,
98,13/06,20614.0,,,,
99,14/06,21381.0,,,,
100,15/06,21728.0,,,,
101,16/06,22024.0,,,,
102,17/06,23347.0,,,,
103,18/06,24906.0,,,,
104,19/06,26052.0,,,,
105,20/06,27305.0,,,,
106,21/06,27641.0,,,,
107,22/06,28918.0,,,,
108,23/06,29897.0,,,,
109,24/06,31343.0,,,,
0,25/06,32420.5982160052,32110.778509013,32730.417922997403,31946.7698631466,32894.4265688639
1,26/06,33498.196432010496,33011.325608176696,33985.0672558442,32753.5917625667,34242.8011014542
2,27/06,34575.7946480157,33918.6707705629,35232.9185254685,33570.8104024996,35580.7788935318
3,28/06,35653.3928640209,34823.3681836445,36483.4175443974,34383.979659312405,36922.8060687295
4,29/06,36730.9910800262,35722.4883860357,37739.4937740167,35188.6193084361,38273.3628516163
5,30/06,37808.5892960314,36614.9105799968,39002.268012066,35983.0152376473,39634.1633544156
6,01/07,38886.1875120367,37500.199959582904,40272.1750644904,36766.502468637096,41005.8725554362
