,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,18/03,1.0,,,,
2,19/03,1.0,,,,
3,20/03,1.0,,,,
4,21/03,2.0,,,,
5,22/03,5.0,,,,
6,23/03,7.0,,,,
7,24/03,7.0,,,,
8,25/03,7.0,,,,
9,26/03,8.0,,,,
10,27/03,9.0,,,,
11,28/03,9.0,,,,
12,29/03,10.0,,,,
13,30/03,11.0,,,,
14,31/03,12.0,,,,
15,01/04,12.0,,,,
16,02/04,12.0,,,,
17,03/04,13.0,,,,
18,04/04,16.0,,,,
19,05/04,17.0,,,,
20,06/04,19.0,,,,
21,07/04,19.0,,,,
22,08/04,23.0,,,,
23,09/04,23.0,,,,
24,10/04,23.0,,,,
25,11/04,25.0,,,,
26,12/04,26.0,,,,
27,13/04,26.0,,,,
28,14/04,27.0,,,,
29,15/04,29.0,,,,
30,16/04,31.0,,,,
31,17/04,32.0,,,,
32,18/04,33.0,,,,
33,19/04,34.0,,,,
34,20/04,35.0,,,,
35,21/04,36.0,,,,
36,22/04,37.0,,,,
37,23/04,43.0,,,,
38,24/04,50.0,,,,
39,25/04,58.0,,,,
40,26/04,67.0,,,,
41,27/04,79.0,,,,
42,28/04,116.0,,,,
43,29/04,137.0,,,,
44,30/04,164.0,,,,
45,01/05,191.0,,,,
46,02/05,246.0,,,,
47,03/05,267.0,,,,
48,04/05,303.0,,,,
49,05/05,351.0,,,,
50,06/05,423.0,,,,
51,07/05,494.0,,,,
52,08/05,572.0,,,,
53,09/05,688.0,,,,
54,10/05,747.0,,,,
55,11/05,828.0,,,,
56,12/05,932.0,,,,
57,13/05,1029.0,,,,
58,14/05,1179.0,,,,
59,15/05,1279.0,,,,
60,16/05,1279.0,,,,
61,17/05,1496.0,,,,
62,18/05,1646.0,,,,
63,19/05,1809.0,,,,
64,20/05,1976.0,,,,
65,21/05,2205.0,,,,
66,22/05,2430.0,,,,
67,23/05,2430.0,,,,
68,24/05,2430.0,,,,
69,25/05,2696.0,,,,
70,26/05,2858.0,,,,
71,27/05,2858.0,,,,
72,28/05,3277.0,,,,
73,29/05,3611.0,,,,
74,30/05,3981.0,,,,
75,31/05,4176.0,,,,
76,01/06,4345.0,,,,
77,02/06,4483.0,,,,
78,03/06,4698.0,,,,
79,04/06,4698.0,,,,
80,05/06,5505.0,,,,
81,06/06,5644.0,,,,
82,07/06,5644.0,,,,
83,08/06,6052.0,,,,
84,09/06,6257.0,,,,
85,10/06,6529.0,,,,
86,11/06,6744.0,,,,
87,12/06,6931.0,,,,
88,13/06,6972.0,,,,
89,14/06,7137.0,,,,
90,15/06,7309.0,,,,
91,16/06,7573.0,,,,
92,17/06,7774.0,,,,
93,18/06,7956.0,,,,
94,19/06,8203.0,,,,
95,20/06,8354.0,,,,
96,21/06,8477.0,,,,
97,22/06,8766.0,,,,
98,23/06,9098.0,,,,
99,24/06,9425.0,,,,
100,25/06,9681.0,,,,
101,26/06,9966.0,,,,
0,27/06,10210.9519517806,10085.2286537991,10336.675249762,10018.6747600653,10403.229143495899
1,28/06,10467.8916396923,10290.776886989399,10645.0063923953,10197.0180004556,10738.765278929
2,29/06,10740.477470215501,10527.0612050985,10953.8937353324,10414.0854586958,11066.8694817351
3,30/06,11013.0633007386,10757.1061915236,11269.0204099536,10621.6106825716,11404.515918905501
4,01/07,11285.6491312617,10981.9033818652,11589.394880658101,10821.1100949248,11750.1881675986
5,02/07,11558.2349617848,11202.1759164001,11914.2940071695,11013.6896433706,12102.780280198998
6,03/07,11830.8207923079,11418.446013306,12243.1955713098,11200.1479916915,12461.4935929244
