,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,2.0,,,,
3,22/03,2.0,,,,
4,23/03,8.0,,,,
5,24/03,8.0,,,,
6,25/03,8.0,,,,
7,26/03,10.0,,,,
8,27/03,13.0,,,,
9,28/03,15.0,,,,
10,29/03,21.0,,,,
11,30/03,30.0,,,,
12,31/03,51.0,,,,
13,01/04,70.0,,,,
14,02/04,80.0,,,,
15,03/04,87.0,,,,
16,04/04,95.0,,,,
17,05/04,132.0,,,,
18,06/04,171.0,,,,
19,07/04,229.0,,,,
20,08/04,272.0,,,,
21,09/04,293.0,,,,
22,10/04,344.0,,,,
23,11/04,398.0,,,,
24,12/04,445.0,,,,
25,13/04,478.0,,,,
26,14/04,630.0,,,,
27,15/04,695.0,,,,
28,16/04,797.0,,,,
29,17/04,1040.0,,,,
30,18/04,1205.0,,,,
31,19/04,1320.0,,,,
32,20/04,1396.0,,,,
33,21/04,1604.0,,,,
34,22/04,1757.0,,,,
35,23/04,1951.0,,,,
36,24/04,2105.0,,,,
37,25/04,2223.0,,,,
38,26/04,2410.0,,,,
39,27/04,2528.0,,,,
40,28/04,2804.0,,,,
41,29/04,3190.0,,,,
42,30/04,3506.0,,,,
43,01/05,3805.0,,,,
44,02/05,4040.0,,,,
45,03/05,4227.0,,,,
46,04/05,4530.0,,,,
47,05/05,5028.0,,,,
48,06/05,5389.0,,,,
49,07/05,5909.0,,,,
50,08/05,6765.0,,,,
51,09/05,7599.0,,,,
52,10/05,8144.0,,,,
53,11/05,8526.0,,,,
54,12/05,9112.0,,,,
55,13/05,9801.0,,,,
56,14/05,10739.0,,,,
57,15/05,11592.0,,,,
58,16/05,12492.0,,,,
59,17/05,13238.0,,,,
60,18/05,14198.0,,,,
61,19/05,15114.0,,,,
62,20/05,16058.0,,,,
63,21/05,17212.0,,,,
64,22/05,18767.0,,,,
65,23/05,21191.0,,,,
66,24/05,22786.0,,,,
67,25/05,24278.0,,,,
68,26/05,26145.0,,,,
69,27/05,27979.0,,,,
70,28/05,30482.0,,,,
71,29/05,32620.0,,,,
72,30/05,34639.0,,,,
73,31/05,35297.0,,,,
74,01/06,36625.0,,,,
75,02/06,38174.0,,,,
76,03/06,40629.0,,,,
77,04/06,43313.0,,,,
78,05/06,45470.0,,,,
79,06/06,47593.0,,,,
80,07/06,48537.0,,,,
81,08/06,49371.0,,,,
82,09/06,52069.0,,,,
83,10/06,53508.0,,,,
84,11/06,55680.0,,,,
85,12/06,57605.0,,,,
86,13/06,58859.0,,,,
87,14/06,59850.0,,,,
88,15/06,60592.0,,,,
89,16/06,62711.0,,,,
90,17/06,64735.0,,,,
91,18/06,66091.0,,,,
92,19/06,68500.0,,,,
93,20/06,69673.0,,,,
94,21/06,70059.0,,,,
95,22/06,70689.0,,,,
96,23/06,72021.0,,,,
97,24/06,73314.0,,,,
98,25/06,74925.0,,,,
99,26/06,76698.0,,,,
100,27/06,78115.0,,,,
101,28/06,78512.0,,,,
102,29/06,78969.0,,,,
103,30/06,80451.0,,,,
104,01/07,83256.0,,,,
105,02/07,86025.0,,,,
106,03/07,88214.0,,,,
107,04/07,89057.0,,,,
108,05/07,89714.0,,,,
109,06/07,90251.0,,,,
110,07/07,92088.0,,,,
111,08/07,92939.0,,,,
112,09/07,95323.0,,,,
113,10/07,96718.0,,,,
114,11/07,98398.0,,,,
115,12/07,98952.0,,,,
116,13/07,99830.0,,,,
117,14/07,101467.0,,,,
118,15/07,102469.0,,,,
119,16/07,104126.0,,,,
120,17/07,105183.0,,,,
121,18/07,106092.0,,,,
122,19/07,106325.0,,,,
123,20/07,106906.0,,,,
124,21/07,108154.0,,,,
125,22/07,109731.0,,,,
0,23/07,111055.364115698,110428.850092567,111681.87813882901,110097.193602579,112013.534628817
1,24/07,112286.42307037301,111151.49426909699,113421.351871649,110550.69925299099,114022.146887755
2,25/07,113483.02194390199,111865.248387346,115100.79550045801,111008.85079758301,115957.19309022199
3,26/07,114666.893791621,112580.452803571,116753.33477967199,111475.957662017,117857.829921225
4,27/07,115846.06520972401,113295.596200866,118396.53421858199,111945.459463186,119746.670956262
5,28/07,117023.500633974,114007.160683483,120039.840584465,112410.406766324,121636.594501625
6,29/07,118200.294909456,114712.12810414801,121688.46171476401,112865.60413752,123534.98568139301
