,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,2.0,,,,
3,22/03,2.0,,,,
4,23/03,8.0,,,,
5,24/03,8.0,,,,
6,25/03,8.0,,,,
7,26/03,10.0,,,,
8,27/03,13.0,,,,
9,28/03,15.0,,,,
10,29/03,21.0,,,,
11,30/03,30.0,,,,
12,31/03,51.0,,,,
13,01/04,70.0,,,,
14,02/04,80.0,,,,
15,03/04,87.0,,,,
16,04/04,95.0,,,,
17,05/04,132.0,,,,
18,06/04,171.0,,,,
19,07/04,229.0,,,,
20,08/04,272.0,,,,
21,09/04,293.0,,,,
22,10/04,344.0,,,,
23,11/04,398.0,,,,
24,12/04,445.0,,,,
25,13/04,478.0,,,,
26,14/04,630.0,,,,
27,15/04,695.0,,,,
28,16/04,797.0,,,,
29,17/04,1040.0,,,,
30,18/04,1205.0,,,,
31,19/04,1320.0,,,,
32,20/04,1396.0,,,,
33,21/04,1604.0,,,,
34,22/04,1757.0,,,,
35,23/04,1951.0,,,,
36,24/04,2105.0,,,,
37,25/04,2223.0,,,,
38,26/04,2410.0,,,,
39,27/04,2528.0,,,,
40,28/04,2804.0,,,,
41,29/04,3190.0,,,,
42,30/04,3506.0,,,,
43,01/05,3805.0,,,,
44,02/05,4040.0,,,,
45,03/05,4227.0,,,,
46,04/05,4530.0,,,,
47,05/05,5028.0,,,,
48,06/05,5389.0,,,,
49,07/05,5909.0,,,,
50,08/05,6765.0,,,,
51,09/05,7599.0,,,,
52,10/05,8144.0,,,,
53,11/05,8526.0,,,,
54,12/05,9112.0,,,,
55,13/05,9801.0,,,,
56,14/05,10739.0,,,,
57,15/05,11592.0,,,,
58,16/05,12492.0,,,,
59,17/05,13238.0,,,,
60,18/05,14198.0,,,,
61,19/05,15114.0,,,,
62,20/05,16058.0,,,,
63,21/05,17212.0,,,,
64,22/05,18767.0,,,,
65,23/05,21191.0,,,,
66,24/05,22786.0,,,,
67,25/05,24278.0,,,,
68,26/05,26145.0,,,,
69,27/05,27979.0,,,,
70,28/05,30482.0,,,,
71,29/05,32620.0,,,,
72,30/05,34639.0,,,,
73,31/05,35297.0,,,,
74,01/06,36625.0,,,,
75,02/06,38174.0,,,,
76,03/06,40629.0,,,,
77,04/06,43313.0,,,,
78,05/06,45470.0,,,,
79,06/06,47593.0,,,,
80,07/06,48537.0,,,,
81,08/06,49371.0,,,,
82,09/06,52069.0,,,,
83,10/06,53508.0,,,,
0,11/06,54991.050397322004,54526.159694614005,55455.9411000301,54280.061422276,55702.0393723681
1,12/06,56661.5374112,55798.7956230777,57524.2791993222,55342.0877080905,57980.9871143095
2,13/06,58332.024425078,57098.8386394575,59565.210210698395,56446.0295177753,60218.019332380594
3,14/06,60002.511438955895,58392.213866537,61612.809011374804,57539.773823718395,62465.2490541935
4,15/06,61672.9984528339,59670.7696441711,63675.2272614966,58610.853737556696,64735.143168111
5,16/06,63343.4854667118,60931.8477424711,65755.1231909526,59655.2038475002,67031.76708592339
6,17/06,65013.97248058981,62174.615027998494,67853.3299331811,60671.549985908896,69356.3949752706
