,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,05/03,1.0,,,,
2,06/03,2.0,,,,
3,07/03,2.0,,,,
4,08/03,3.0,,,,
5,09/03,3.0,,,,
6,10/03,3.0,,,,
7,11/03,3.0,,,,
8,12/03,15.0,,,,
9,13/03,15.0,,,,
10,14/03,15.0,,,,
11,15/03,24.0,,,,
12,16/03,25.0,,,,
13,17/03,25.0,,,,
14,18/03,63.0,,,,
15,19/03,66.0,,,,
16,20/03,66.0,,,,
17,21/03,119.0,,,,
18,22/03,186.0,,,,
19,23/03,233.0,,,,
20,24/03,305.0,,,,
21,25/03,370.0,,,,
22,26/03,421.0,,,,
23,27/03,493.0,,,,
24,28/03,558.0,,,,
25,29/03,600.0,,,,
26,30/03,657.0,,,,
27,31/03,708.0,,,,
28,01/04,832.0,,,,
29,02/04,992.0,,,,
30,03/04,1074.0,,,,
31,04/04,1246.0,,,,
32,05/04,1394.0,,,,
33,06/04,1461.0,,,,
34,07/04,1688.0,,,,
35,08/04,1938.0,,,,
36,09/04,2216.0,,,,
37,10/04,2464.0,,,,
38,11/04,2607.0,,,,
39,12/04,2855.0,,,,
40,13/04,3221.0,,,,
41,14/04,3410.0,,,,
42,15/04,3743.0,,,,
43,16/04,3944.0,,,,
44,17/04,4349.0,,,,
45,18/04,4543.0,,,,
46,19/04,4675.0,,,,
47,20/04,4899.0,,,,
48,21/04,5306.0,,,,
49,22/04,5552.0,,,,
50,23/04,6172.0,,,,
51,24/04,6282.0,,,,
52,25/04,6828.0,,,,
53,26/04,7111.0,,,,
54,27/04,7944.0,,,,
55,28/04,8504.0,,,,
56,29/04,8869.0,,,,
57,30/04,9453.0,,,,
58,01/05,10166.0,,,,
59,02/05,10546.0,,,,
60,03/05,11139.0,,,,
61,04/05,11721.0,,,,
62,05/05,12391.0,,,,
63,06/05,13295.0,,,,
64,07/05,14156.0,,,,
65,08/05,15741.0,,,,
66,09/05,16929.0,,,,
67,10/05,17062.0,,,,
68,11/05,17939.0,,,,
69,12/05,18486.0,,,,
70,13/05,18728.0,,,,
71,14/05,19467.0,,,,
72,15/05,19987.0,,,,
73,16/05,21601.0,,,,
74,17/05,22238.0,,,,
75,18/05,26665.0,,,,
76,19/05,27805.0,,,,
0,20/05,31885.632618819902,31334.2755285104,32436.989709129502,31042.404715486802,32728.8605221531
1,21/05,33335.501562900696,32513.655089366403,34157.3480364349,32078.595846224398,34592.4072795769
2,22/05,37138.917654637204,35758.7184858562,38519.1168234182,35028.0851801333,39249.750129141095
3,23/05,38836.791454823,36999.0277226425,40674.555187003396,36026.1743684657,41647.408541180295
4,24/05,42418.3361837703,39934.319856658796,44902.3525108818,38619.361043757795,46217.3113237827
5,25/05,44314.7016683492,41239.4099569275,47389.9933797708,39611.4488626148,49017.954474083606
6,26/05,47718.6707594228,43915.5274318478,51521.8140869978,41902.2649662441,53535.0765526015
