,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,18/03,1.0,,,,
2,19/03,1.0,,,,
3,20/03,2.0,,,,
4,21/03,2.0,,,,
5,22/03,4.0,,,,
6,23/03,5.0,,,,
7,24/03,5.0,,,,
8,25/03,7.0,,,,
9,26/03,13.0,,,,
10,27/03,16.0,,,,
11,28/03,18.0,,,,
12,29/03,20.0,,,,
13,30/03,26.0,,,,
14,31/03,34.0,,,,
15,01/04,41.0,,,,
16,02/04,49.0,,,,
17,03/04,75.0,,,,
18,04/04,82.0,,,,
19,05/04,86.0,,,,
20,06/04,123.0,,,,
21,07/04,154.0,,,,
22,08/04,165.0,,,,
23,09/04,169.0,,,,
24,10/04,217.0,,,,
25,11/04,237.0,,,,
26,12/04,259.0,,,,
27,13/04,310.0,,,,
28,14/04,384.0,,,,
29,15/04,487.0,,,,
30,16/04,557.0,,,,
31,17/04,627.0,,,,
32,18/04,641.0,,,,
33,19/04,685.0,,,,
34,20/04,902.0,,,,
35,21/04,1026.0,,,,
36,22/04,1195.0,,,,
37,23/04,1267.0,,,,
38,24/04,1579.0,,,,
39,25/04,1745.0,,,,
40,26/04,2070.0,,,,
41,27/04,2219.0,,,,
42,28/04,2319.0,,,,
43,29/04,2586.0,,,,
44,30/04,2999.0,,,,
45,01/05,3359.0,,,,
46,02/05,3727.0,,,,
47,03/05,3920.0,,,,
48,04/05,4262.0,,,,
49,05/05,4756.0,,,,
50,06/05,5524.0,,,,
51,07/05,5935.0,,,,
52,08/05,6519.0,,,,
53,09/05,7018.0,,,,
54,10/05,7348.0,,,,
55,11/05,8069.0,,,,
56,12/05,9059.0,,,,
57,13/05,10344.0,,,,
58,14/05,11479.0,,,,
59,15/05,12626.0,,,,
60,16/05,13464.0,,,,
61,17/05,14201.0,,,,
62,18/05,15467.0,,,,
63,19/05,15467.0,,,,
64,20/05,18929.0,,,,
65,21/05,20532.0,,,,
66,22/05,22697.0,,,,
67,23/05,24125.0,,,,
68,24/05,24815.0,,,,
0,25/05,26176.4190055237,25639.5671562131,26713.270854834303,25355.3749539444,26997.463057103
1,26/05,27537.8380110473,26676.302978484,28399.3730436107,26220.233881301498,28855.4421407931
2,27/05,28899.257016571002,27716.2023341863,30082.3116989557,27089.9310155294,30708.583017612596
3,28/05,30260.676022094704,28744.8074643106,31776.5445798787,27942.3551223103,32578.996921879
4,29/05,31622.0950276183,29758.099268485,33486.0907867517,28771.3595180533,34472.8305371834
5,30/05,32983.514033142004,30754.835777513,35212.192288771,29575.044774783197,36391.9832915008
6,31/05,34344.933038665695,31734.7687747825,36955.0973025488,30353.031277950802,38336.8347993806
