,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,3.0,,,,
2,13/03,3.0,,,,
3,14/03,4.0,,,,
4,15/03,4.0,,,,
5,16/03,9.0,,,,
6,17/03,10.0,,,,
7,18/03,12.0,,,,
8,19/03,15.0,,,,
9,20/03,18.0,,,,
10,21/03,19.0,,,,
11,22/03,21.0,,,,
12,23/03,23.0,,,,
13,24/03,29.0,,,,
14,25/03,35.0,,,,
15,26/03,38.0,,,,
16,27/03,49.0,,,,
17,28/03,56.0,,,,
18,29/03,56.0,,,,
19,30/03,60.0,,,,
20,31/03,65.0,,,,
21,01/04,73.0,,,,
22,02/04,73.0,,,,
23,03/04,88.0,,,,
24,04/04,103.0,,,,
25,05/04,115.0,,,,
26,06/04,119.0,,,,
27,07/04,133.0,,,,
28,08/04,159.0,,,,
29,09/04,179.0,,,,
30,10/04,191.0,,,,
31,11/04,209.0,,,,
32,12/04,229.0,,,,
33,13/04,233.0,,,,
34,14/04,284.0,,,,
35,15/04,304.0,,,,
36,16/04,318.0,,,,
37,17/04,335.0,,,,
38,18/04,378.0,,,,
39,19/04,393.0,,,,
40,20/04,403.0,,,,
41,21/04,421.0,,,,
42,22/04,438.0,,,,
43,23/04,453.0,,,,
44,24/04,486.0,,,,
45,25/04,506.0,,,,
46,26/04,573.0,,,,
47,27/04,616.0,,,,
48,28/04,661.0,,,,
49,29/04,705.0,,,,
50,30/04,781.0,,,,
51,01/05,808.0,,,,
52,02/05,825.0,,,,
53,03/05,850.0,,,,
54,04/05,861.0,,,,
55,05/05,922.0,,,,
56,06/05,1024.0,,,,
57,07/05,1027.0,,,,
58,08/05,1053.0,,,,
59,09/05,1069.0,,,,
60,10/05,1093.0,,,,
61,11/05,1100.0,,,,
62,12/05,1115.0,,,,
63,13/05,1225.0,,,,
64,14/05,1460.0,,,,
65,15/05,1605.0,,,,
66,16/05,1652.0,,,,
67,17/05,1692.0,,,,
68,18/05,1781.0,,,,
69,19/05,1880.0,,,,
70,20/05,2049.0,,,,
71,21/05,2155.0,,,,
72,22/05,2344.0,,,,
73,23/05,2435.0,,,,
74,24/05,2488.0,,,,
75,25/05,2515.0,,,,
76,26/05,2706.0,,,,
77,27/05,2906.0,,,,
0,28/05,3055.5935954480397,3011.15571791421,3100.03147298187,2987.63172652495,3123.55546437112
1,29/05,3158.1339170409497,3075.5021630686497,3240.76567101325,3031.75955480742,3284.50827927448
2,30/05,3246.75536892819,3134.76724166634,3358.74349619004,3075.4843081058802,3418.0264297505
3,31/05,3352.8193650222197,3218.14287712781,3487.49585291664,3146.84945094761,3558.7892790968394
4,01/06,3485.9127764336,3329.17183793849,3642.65371492872,3246.19819715884,3725.62735570836
5,02/06,3634.72427299824,3450.76300555362,3818.6855404428497,3353.3797930447,3916.06875295177
6,03/06,3781.34949085753,3562.1570205161497,4000.5419611989205,3446.12353577166,4116.5754459434
