,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,2.0,,,,
2,15/03,2.0,,,,
3,16/03,4.0,,,,
4,17/03,6.0,,,,
5,18/03,7.0,,,,
6,19/03,9.0,,,,
7,20/03,12.0,,,,
8,21/03,16.0,,,,
9,22/03,21.0,,,,
10,23/03,21.0,,,,
11,24/03,24.0,,,,
12,25/03,24.0,,,,
13,26/03,25.0,,,,
14,27/03,28.0,,,,
15,28/03,31.0,,,,
16,29/03,36.0,,,,
17,30/03,44.0,,,,
18,31/03,48.0,,,,
19,01/04,51.0,,,,
20,02/04,53.0,,,,
21,03/04,60.0,,,,
22,04/04,62.0,,,,
23,05/04,65.0,,,,
24,06/04,66.0,,,,
25,07/04,80.0,,,,
26,08/04,85.0,,,,
27,09/04,89.0,,,,
28,10/04,97.0,,,,
29,11/04,100.0,,,,
30,12/04,101.0,,,,
31,13/04,113.0,,,,
32,14/04,115.0,,,,
33,15/04,121.0,,,,
34,16/04,131.0,,,,
35,17/04,143.0,,,,
36,18/04,161.0,,,,
37,19/04,168.0,,,,
38,20/04,171.0,,,,
39,21/04,173.0,,,,
40,22/04,175.0,,,,
41,23/04,186.0,,,,
42,24/04,213.0,,,,
43,25/04,217.0,,,,
44,26/04,234.0,,,,
45,27/04,238.0,,,,
46,28/04,240.0,,,,
47,29/04,249.0,,,,
48,30/04,255.0,,,,
49,01/05,261.0,,,,
50,02/05,266.0,,,,
51,03/05,272.0,,,,
52,04/05,274.0,,,,
53,05/05,283.0,,,,
54,06/05,288.0,,,,
55,07/05,311.0,,,,
56,08/05,326.0,,,,
57,09/05,346.0,,,,
58,10/05,362.0,,,,
59,11/05,385.0,,,,
60,12/05,405.0,,,,
61,13/05,430.0,,,,
62,14/05,452.0,,,,
63,15/05,479.0,,,,
64,16/05,508.0,,,,
65,17/05,570.0,,,,
66,18/05,613.0,,,,
67,19/05,642.0,,,,
68,20/05,693.0,,,,
69,21/05,746.0,,,,
70,22/05,805.0,,,,
71,23/05,858.0,,,,
72,24/05,1023.0,,,,
73,25/05,1100.0,,,,
74,26/05,1186.0,,,,
75,27/05,1262.0,,,,
76,28/05,1356.0,,,,
77,29/05,1418.0,,,,
78,30/05,1489.0,,,,
79,31/05,1568.0,,,,
80,01/06,1646.0,,,,
81,02/06,1802.0,,,,
82,03/06,1925.0,,,,
83,04/06,1997.0,,,,
84,05/06,2132.0,,,,
85,06/06,2253.0,,,,
86,07/06,2324.0,,,,
87,08/06,2455.0,,,,
88,09/06,2597.0,,,,
89,10/06,2853.0,,,,
90,11/06,3001.0,,,,
91,12/06,3235.0,,,,
92,13/06,3433.0,,,,
93,14/06,3551.0,,,,
94,15/06,3785.0,,,,
95,16/06,4164.0,,,,
96,17/06,4274.0,,,,
97,18/06,4666.0,,,,
98,19/06,4990.0,,,,
99,20/06,5237.0,,,,
100,21/06,5391.0,,,,
101,22/06,5784.0,,,,
102,23/06,6201.0,,,,
103,24/06,6523.0,,,,
104,25/06,6913.0,,,,
105,26/06,7307.0,,,,
106,27/06,7527.0,,,,
107,28/06,7676.0,,,,
108,29/06,7965.0,,,,
109,30/06,8676.0,,,,
110,01/07,9062.0,,,,
111,02/07,9388.0,,,,
112,03/07,9910.0,,,,
113,04/07,10089.0,,,,
114,05/07,10253.0,,,,
115,06/07,10687.0,,,,
116,07/07,11063.0,,,,
117,08/07,11671.0,,,,
118,09/07,12261.0,,,,
119,10/07,12969.0,,,,
120,11/07,13197.0,,,,
121,12/07,13461.0,,,,
122,13/07,13934.0,,,,
123,14/07,14631.0,,,,
124,15/07,15330.0,,,,
125,16/07,15805.0,,,,
126,17/07,16006.0,,,,
127,18/07,16403.0,,,,
128,19/07,16637.0,,,,
129,20/07,17386.0,,,,
130,21/07,18889.0,,,,
0,22/07,19886.5339025514,19726.4487747621,20046.619030340702,19641.7048271063,20131.3629779966
1,23/07,20359.4745558554,20050.8126355451,20668.1364761656,19887.416884925802,20831.5322267849
2,24/07,20803.9061886424,20387.9575533268,21219.854823958,20167.76764646,21440.0447308248
3,25/07,21445.9220446977,20946.105800703303,21945.7382886921,20681.5190636122,22210.325025783197
4,26/07,22186.3563506499,21601.482134711798,22771.2305665879,21291.8684271479,23080.8442741518
5,27/07,22890.9788109146,22209.6511497438,23572.3064720854,21848.9780725376,23932.9795492917
6,28/07,23540.4092949769,22754.224628861,24326.593961092796,22338.0436062189,24742.774983734904
