,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,18/03,1.0,,,,
2,19/03,1.0,,,,
3,20/03,1.0,,,,
4,21/03,2.0,,,,
5,22/03,5.0,,,,
6,23/03,7.0,,,,
7,24/03,7.0,,,,
8,25/03,7.0,,,,
9,26/03,8.0,,,,
10,27/03,9.0,,,,
11,28/03,9.0,,,,
12,29/03,10.0,,,,
13,30/03,11.0,,,,
14,31/03,12.0,,,,
15,01/04,12.0,,,,
16,02/04,12.0,,,,
17,03/04,13.0,,,,
18,04/04,16.0,,,,
19,05/04,17.0,,,,
20,06/04,19.0,,,,
21,07/04,19.0,,,,
22,08/04,23.0,,,,
23,09/04,23.0,,,,
24,10/04,23.0,,,,
25,11/04,25.0,,,,
26,12/04,26.0,,,,
27,13/04,26.0,,,,
28,14/04,27.0,,,,
29,15/04,29.0,,,,
30,16/04,31.0,,,,
31,17/04,32.0,,,,
32,18/04,33.0,,,,
33,19/04,34.0,,,,
34,20/04,35.0,,,,
35,21/04,36.0,,,,
36,22/04,37.0,,,,
37,23/04,43.0,,,,
38,24/04,50.0,,,,
39,25/04,58.0,,,,
40,26/04,67.0,,,,
41,27/04,79.0,,,,
42,28/04,116.0,,,,
43,29/04,137.0,,,,
44,30/04,164.0,,,,
45,01/05,191.0,,,,
46,02/05,246.0,,,,
47,03/05,267.0,,,,
48,04/05,303.0,,,,
49,05/05,351.0,,,,
50,06/05,423.0,,,,
51,07/05,494.0,,,,
52,08/05,572.0,,,,
53,09/05,688.0,,,,
54,10/05,747.0,,,,
55,11/05,828.0,,,,
56,12/05,932.0,,,,
57,13/05,1029.0,,,,
58,14/05,1179.0,,,,
59,15/05,1279.0,,,,
60,16/05,1279.0,,,,
61,17/05,1496.0,,,,
62,18/05,1646.0,,,,
63,19/05,1809.0,,,,
64,20/05,1976.0,,,,
65,21/05,2205.0,,,,
66,22/05,2430.0,,,,
67,23/05,2430.0,,,,
68,24/05,2430.0,,,,
69,25/05,2696.0,,,,
70,26/05,2858.0,,,,
71,27/05,2858.0,,,,
72,28/05,3277.0,,,,
73,29/05,3611.0,,,,
74,30/05,3981.0,,,,
75,31/05,4176.0,,,,
76,01/06,4345.0,,,,
77,02/06,4483.0,,,,
78,03/06,4698.0,,,,
79,04/06,4698.0,,,,
80,05/06,5505.0,,,,
81,06/06,5644.0,,,,
82,07/06,5644.0,,,,
83,08/06,6052.0,,,,
84,09/06,6257.0,,,,
85,10/06,6529.0,,,,
86,11/06,6744.0,,,,
87,12/06,6931.0,,,,
88,13/06,6972.0,,,,
89,14/06,7137.0,,,,
90,15/06,7309.0,,,,
0,16/06,7491.54819472443,7366.4290501676205,7616.66733928125,7300.19497593795,7682.90141351092
1,17/06,7633.991325751379,7470.55108334619,7797.4315681565795,7384.031045298249,7883.95160620452
2,18/06,7751.016936084,7555.819465430501,7946.21440673751,7452.488166239609,8049.5457059284
3,19/06,7851.93359909965,7621.784606293491,8082.0825919058,7499.951088909709,8203.91610928958
4,20/06,7942.6408405598995,7670.20543214645,8215.076248973359,7525.986838520649,8359.294842599158
5,21/06,8026.87762268818,7703.015324705841,8350.73992067052,7531.57298020505,8522.18226517131
6,22/06,8107.013600109771,7722.15140172043,8491.875798499108,7518.41766052035,8695.60953969918
