,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,05/03,1.0,,,,
2,06/03,1.0,,,,
3,07/03,1.0,,,,
4,08/03,1.0,,,,
5,09/03,1.0,,,,
6,10/03,1.0,,,,
7,11/03,1.0,,,,
8,12/03,2.0,,,,
9,13/03,2.0,,,,
10,14/03,4.0,,,,
11,15/03,4.0,,,,
12,16/03,8.0,,,,
13,17/03,8.0,,,,
14,18/03,11.0,,,,
15,19/03,13.0,,,,
16,20/03,16.0,,,,
17,21/03,26.0,,,,
18,22/03,26.0,,,,
19,23/03,33.0,,,,
20,24/03,40.0,,,,
21,25/03,40.0,,,,
22,26/03,48.0,,,,
23,27/03,54.0,,,,
24,28/03,61.0,,,,
25,29/03,72.0,,,,
26,30/03,85.0,,,,
27,31/03,97.0,,,,
28,01/04,120.0,,,,
29,02/04,139.0,,,,
30,03/04,153.0,,,,
31,04/04,166.0,,,,
32,05/04,194.0,,,,
33,06/04,209.0,,,,
34,07/04,227.0,,,,
35,08/04,273.0,,,,
36,09/04,300.0,,,,
37,10/04,349.0,,,,
38,11/04,383.0,,,,
39,12/04,430.0,,,,
40,13/04,463.0,,,,
41,14/04,557.0,,,,
42,15/04,734.0,,,,
43,16/04,935.0,,,,
44,17/04,952.0,,,,
45,18/04,1099.0,,,,
46,19/04,1195.0,,,,
47,20/04,1212.0,,,,
48,21/04,1313.0,,,,
49,22/04,1351.0,,,,
50,23/04,1453.0,,,,
51,24/04,1665.0,,,,
52,25/04,1711.0,,,,
53,26/04,1819.0,,,,
54,27/04,1944.0,,,,
55,28/04,2164.0,,,,
56,29/04,2538.0,,,,
57,30/04,2688.0,,,,
58,01/05,2913.0,,,,
59,02/05,3104.0,,,,
60,03/05,3208.0,,,,
61,04/05,3351.0,,,,
62,05/05,3540.0,,,,
63,06/05,3714.0,,,,
64,07/05,3988.0,,,,
65,08/05,4242.0,,,,
66,09/05,4412.0,,,,
67,10/05,4599.0,,,,
68,11/05,4819.0,,,,
69,12/05,5087.0,,,,
70,13/05,5401.0,,,,
71,14/05,5813.0,,,,
72,15/05,6198.0,,,,
73,16/05,6595.0,,,,
74,17/05,6744.0,,,,
75,18/05,7157.0,,,,
76,19/05,7693.0,,,,
77,20/05,8495.0,,,,
78,21/05,8878.0,,,,
79,22/05,9520.0,,,,
80,23/05,9918.0,,,,
81,24/05,10007.0,,,,
82,25/05,10365.0,,,,
83,26/05,10889.0,,,,
84,27/05,11484.0,,,,
85,28/05,12203.0,,,,
86,29/05,12903.0,,,,
87,30/05,13437.0,,,,
88,31/05,13690.0,,,,
89,01/06,14285.0,,,,
90,02/06,15151.0,,,,
91,03/06,16121.0,,,,
92,04/06,16894.0,,,,
93,05/06,18109.0,,,,
94,06/06,18950.0,,,,
95,07/06,19619.0,,,,
96,08/06,20659.0,,,,
97,09/06,21964.0,,,,
98,10/06,23391.0,,,,
99,11/06,24428.0,,,,
100,12/06,25502.0,,,,
101,13/06,26011.0,,,,
102,14/06,26469.0,,,,
103,15/06,27652.0,,,,
0,16/06,28964.619883639,28777.5876004596,29151.6521668185,28678.5786904217,29250.661076856402
1,17/06,30129.4678533764,29778.4593970889,30480.4763096639,29592.6467444262,30666.288962326602
2,18/06,31032.4593817029,30547.1169076566,31517.8018557492,30290.1921215524,31774.7266418533
3,19/06,31744.8710984088,31147.95052234,32341.791674477598,30831.9598569259,32657.7823398917
4,20/06,32430.360509088398,31721.4145487346,33139.3064694422,31346.121227083302,33514.599791093504
5,21/06,33223.308026096,32377.1444023293,34069.4716498627,31929.212437436803,34517.4036147552
6,22/06,34157.8958224463,33134.5477161913,35181.2439287013,32592.8199520464,35722.9716928462
