,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,11/03,1.0,,,,
5,12/03,2.0,,,,
6,13/03,2.0,,,,
7,14/03,4.0,,,,
8,15/03,4.0,,,,
9,16/03,6.0,,,,
10,17/03,14.0,,,,
11,18/03,19.0,,,,
12,19/03,29.0,,,,
13,20/03,38.0,,,,
14,21/03,55.0,,,,
15,22/03,83.0,,,,
16,23/03,128.0,,,,
17,24/03,130.0,,,,
18,25/03,133.0,,,,
19,26/03,153.0,,,,
20,27/03,189.0,,,,
21,28/03,205.0,,,,
22,29/03,231.0,,,,
23,30/03,261.0,,,,
24,31/03,275.0,,,,
25,01/04,314.0,,,,
26,02/04,370.0,,,,
27,03/04,397.0,,,,
28,04/04,430.0,,,,
29,05/04,498.0,,,,
30,06/04,525.0,,,,
31,07/04,559.0,,,,
32,08/04,614.0,,,,
33,09/04,655.0,,,,
34,10/04,698.0,,,,
35,11/04,750.0,,,,
36,12/04,806.0,,,,
37,13/04,815.0,,,,
38,14/04,884.0,,,,
39,15/04,903.0,,,,
40,16/04,958.0,,,,
41,17/04,1021.0,,,,
42,18/04,1077.0,,,,
43,19/04,1154.0,,,,
44,20/04,1189.0,,,,
45,21/04,1230.0,,,,
46,22/04,1283.0,,,,
47,23/04,1308.0,,,,
48,24/04,1419.0,,,,
49,25/04,1481.0,,,,
50,26/04,1548.0,,,,
51,27/04,1586.0,,,,
52,28/04,1649.0,,,,
53,29/04,1758.0,,,,
54,30/04,1827.0,,,,
55,01/05,1935.0,,,,
56,02/05,2023.0,,,,
57,03/05,2118.0,,,,
58,04/05,2347.0,,,,
59,05/05,2452.0,,,,
60,06/05,2605.0,,,,
61,07/05,2770.0,,,,
62,08/05,2943.0,,,,
63,09/05,3123.0,,,,
64,10/05,3237.0,,,,
65,11/05,3320.0,,,,
66,12/05,3435.0,,,,
67,13/05,3733.0,,,,
68,14/05,3950.0,,,,
69,15/05,4196.0,,,,
70,16/05,4474.0,,,,
71,17/05,4611.0,,,,
72,18/05,4695.0,,,,
73,19/05,4977.0,,,,
74,20/05,5286.0,,,,
75,21/05,5596.0,,,,
76,22/05,5995.0,,,,
77,23/05,6338.0,,,,
78,24/05,6668.0,,,,
79,25/05,6962.0,,,,
80,26/05,7516.0,,,,
81,27/05,8011.0,,,,
82,28/05,8686.0,,,,
83,29/05,9232.0,,,,
84,30/05,9630.0,,,,
85,31/05,10464.0,,,,
86,01/06,10670.0,,,,
87,02/06,10939.0,,,,
88,03/06,12010.0,,,,
89,04/06,13034.0,,,,
90,05/06,13995.0,,,,
91,06/06,14939.0,,,,
92,07/06,15703.0,,,,
93,08/06,15883.0,,,,
94,09/06,16102.0,,,,
95,10/06,17501.0,,,,
96,11/06,18448.0,,,,
97,12/06,20106.0,,,,
98,13/06,20614.0,,,,
99,14/06,21381.0,,,,
100,15/06,21728.0,,,,
0,16/06,22465.3162738604,22205.985630875803,22724.646916845,22068.7042810207,22861.9282667001
1,17/06,23202.6325477208,22792.1811138733,23613.083981568197,22574.901249681297,23830.3638457602
2,18/06,23939.9488215811,23382.6581452152,24497.239497947,23087.6462814699,24792.2513616923
3,19/06,24677.2650954415,23969.819801347203,25384.7103895358,23595.3208844273,25759.209306455698
4,20/06,25414.5813693019,24551.385490861,26277.777247742797,24094.4371949794,26734.725543624398
5,21/06,26151.8976431623,25126.531052267797,27177.2642340567,24583.734766899302,27720.060519425297
6,22/06,26889.213917022702,25694.9751158919,28083.4527181534,25062.7832824021,28715.6445516432
