,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,1.0,,,,
2,13/03,1.0,,,,
3,14/03,1.0,,,,
4,15/03,1.0,,,,
5,16/03,1.0,,,,
6,17/03,1.0,,,,
7,18/03,1.0,,,,
8,19/03,1.0,,,,
9,20/03,6.0,,,,
10,21/03,9.0,,,,
11,22/03,13.0,,,,
12,23/03,13.0,,,,
13,24/03,14.0,,,,
14,25/03,14.0,,,,
15,26/03,19.0,,,,
16,27/03,28.0,,,,
17,28/03,68.0,,,,
18,29/03,68.0,,,,
19,30/03,77.0,,,,
20,31/03,82.0,,,,
21,01/04,92.0,,,,
22,02/04,106.0,,,,
23,03/04,176.0,,,,
24,04/04,215.0,,,,
25,05/04,246.0,,,,
26,06/04,246.0,,,,
27,07/04,254.0,,,,
28,08/04,261.0,,,,
29,09/04,261.0,,,,
30,10/04,263.0,,,,
31,11/04,289.0,,,,
32,12/04,339.0,,,,
33,13/04,376.0,,,,
34,14/04,399.0,,,,
35,15/04,400.0,,,,
36,16/04,463.0,,,,
37,17/04,516.0,,,,
38,18/04,561.0,,,,
39,19/04,595.0,,,,
40,20/04,608.0,,,,
41,21/04,646.0,,,,
42,22/04,708.0,,,,
43,23/04,754.0,,,,
44,24/04,781.0,,,,
45,25/04,825.0,,,,
46,26/04,832.0,,,,
47,27/04,857.0,,,,
48,28/04,1086.0,,,,
49,29/04,1177.0,,,,
50,30/04,1297.0,,,,
51,01/05,1366.0,,,,
52,02/05,1392.0,,,,
53,03/05,1421.0,,,,
54,04/05,1536.0,,,,
55,05/05,1644.0,,,,
56,06/05,1739.0,,,,
57,07/05,1821.0,,,,
58,08/05,1919.0,,,,
59,09/05,1919.0,,,,
60,10/05,1930.0,,,,
61,11/05,2033.0,,,,
62,12/05,2367.0,,,,
63,13/05,2537.0,,,,
64,14/05,2786.0,,,,
65,15/05,2786.0,,,,
66,16/05,3004.0,,,,
67,17/05,3138.0,,,,
68,18/05,3483.0,,,,
69,19/05,3796.0,,,,
70,20/05,4060.0,,,,
71,21/05,4251.0,,,,
72,22/05,4599.0,,,,
73,23/05,4599.0,,,,
74,24/05,4774.0,,,,
75,25/05,5472.0,,,,
76,26/05,5630.0,,,,
77,27/05,5630.0,,,,
78,28/05,6463.0,,,,
79,29/05,7402.0,,,,
80,30/05,7402.0,,,,
81,31/05,8008.0,,,,
82,01/06,8233.0,,,,
83,02/06,9149.0,,,,
84,03/06,9282.0,,,,
85,04/06,9433.0,,,,
86,05/06,9449.0,,,,
87,06/06,9449.0,,,,
88,07/06,10888.0,,,,
89,08/06,11027.0,,,,
90,09/06,11568.0,,,,
91,10/06,13234.0,,,,
92,11/06,13544.0,,,,
93,12/06,13789.0,,,,
94,13/06,14171.0,,,,
95,14/06,14214.0,,,,
96,15/06,15212.0,,,,
97,16/06,15690.0,,,,
98,17/06,15889.0,,,,
99,18/06,16039.0,,,,
100,19/06,19206.0,,,,
101,20/06,19290.0,,,,
102,21/06,19957.0,,,,
103,22/06,20075.0,,,,
104,23/06,21844.0,,,,
105,24/06,22738.0,,,,
106,25/06,23806.0,,,,
107,26/06,24253.0,,,,
108,27/06,24301.0,,,,
109,28/06,29784.0,,,,
110,29/06,30352.0,,,,
111,30/06,31964.0,,,,
112,01/07,32962.0,,,,
113,02/07,33487.0,,,,
114,03/07,34322.0,,,,
115,04/07,34645.0,,,,
116,05/07,35056.0,,,,
117,06/07,35897.0,,,,
118,07/07,36587.0,,,,
119,08/07,37137.0,,,,
120,09/07,38342.0,,,,
121,10/07,38704.0,,,,
122,11/07,39421.0,,,,
123,12/07,39908.0,,,,
124,13/07,40455.0,,,,
125,14/07,40767.0,,,,
126,15/07,41096.0,,,,
127,16/07,41424.0,,,,
128,17/07,43432.0,,,,
129,18/07,43766.0,,,,
0,19/07,44498.8636581159,43749.7311437028,45247.996172528896,43353.1643453664,45644.5629708654
1,20/07,45213.3792372704,44213.821415627695,46212.9370589132,43684.6874674215,46742.071007119404
2,21/07,45927.894816425,44680.3084609232,47175.4811719267,44019.8761380287,47835.9134948212
3,22/07,46642.4103955795,45143.193030420305,48141.6277607387,44349.5552973453,48935.2654938137
4,23/07,47356.925974734004,45599.927290485095,49113.9246589829,44669.828370082694,50044.0235793854
5,24/07,48071.4415538886,46049.3059805973,50093.57712717981,44978.852069341505,51164.0310384357
6,25/07,48785.9571330431,46490.7442963087,51081.1699697775,45275.7320138987,52296.1822521875
