,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,1.0,,,,
2,26/02,1.0,,,,
3,27/02,1.0,,,,
4,28/02,2.0,,,,
5,29/02,2.0,,,,
6,01/03,2.0,,,,
7,02/03,2.0,,,,
8,03/03,2.0,,,,
9,04/03,3.0,,,,
10,05/03,6.0,,,,
11,06/03,10.0,,,,
12,07/03,13.0,,,,
13,08/03,16.0,,,,
14,09/03,16.0,,,,
15,10/03,19.0,,,,
16,11/03,30.0,,,,
17,12/03,46.0,,,,
18,13/03,46.0,,,,
19,14/03,65.0,,,,
20,15/03,65.0,,,,
21,16/03,152.0,,,,
22,17/03,164.0,,,,
23,18/03,240.0,,,,
24,19/03,286.0,,,,
25,20/03,396.0,,,,
26,21/03,396.0,,,,
27,22/03,631.0,,,,
28,23/03,745.0,,,,
29,24/03,810.0,,,,
30,25/03,862.0,,,,
31,26/03,1052.0,,,,
32,27/03,1223.0,,,,
33,28/03,1406.0,,,,
34,29/03,1451.0,,,,
35,30/03,1517.0,,,,
36,31/03,2339.0,,,,
37,01/04,2981.0,,,,
38,02/04,3506.0,,,,
39,03/04,4048.0,,,,
40,04/04,4466.0,,,,
41,05/04,4620.0,,,,
42,06/04,4866.0,,,,
43,07/04,5682.0,,,,
44,08/04,6708.0,,,,
45,09/04,7480.0,,,,
46,10/04,8216.0,,,,
47,11/04,8419.0,,,,
48,12/04,8755.0,,,,
49,13/04,8895.0,,,,
50,14/04,9371.0,,,,
51,15/04,11043.0,,,,
52,16/04,11568.0,,,,
53,17/04,12841.0,,,,
54,18/04,13894.0,,,,
55,19/04,14267.0,,,,
56,20/04,14580.0,,,,
57,21/04,15385.0,,,,
58,22/04,15914.0,,,,
59,23/04,16740.0,,,,
60,24/04,17826.0,,,,
61,25/04,20004.0,,,,
62,26/04,20715.0,,,,
63,27/04,21696.0,,,,
64,28/04,24041.0,,,,
65,29/04,26158.0,,,,
66,30/04,28698.0,,,,
67,01/05,30374.0,,,,
68,02/05,31174.0,,,,
69,03/05,31772.0,,,,
70,04/05,32187.0,,,,
71,05/05,34053.0,,,,
72,06/05,37853.0,,,,
73,07/05,39928.0,,,,
74,08/05,41830.0,,,,
75,09/05,44411.0,,,,
76,10/05,45444.0,,,,
77,11/05,46131.0,,,,
78,12/05,47719.0,,,,
79,13/05,51097.0,,,,
80,14/05,54286.0,,,,
81,15/05,58378.0,,,,
82,16/05,61183.0,,,,
83,17/05,62345.0,,,,
84,18/05,63066.0,,,,
85,19/05,65995.0,,,,
86,20/05,69859.0,,,,
87,21/05,73739.0,,,,
88,22/05,76871.0,,,,
89,23/05,80558.0,,,,
90,24/05,82161.0,,,,
91,25/05,83625.0,,,,
92,26/05,86017.0,,,,
93,27/05,89483.0,,,,
94,28/05,95865.0,,,,
95,29/05,101556.0,,,,
96,30/05,107142.0,,,,
97,31/05,109698.0,,,,
98,01/06,111296.0,,,,
99,02/06,118295.0,,,,
100,03/06,123483.0,,,,
101,04/06,129200.0,,,,
102,05/06,134565.0,,,,
103,06/06,140549.0,,,,
104,07/06,143073.0,,,,
105,08/06,144593.0,,,,
106,09/06,150138.0,,,,
107,10/06,156316.0,,,,
108,11/06,162520.0,,,,
109,12/06,167900.0,,,,
110,13/06,172875.0,,,,
111,14/06,178202.0,,,,
112,15/06,181460.0,,,,
113,16/06,190285.0,,,,
114,17/06,191517.0,,,,
115,18/06,192628.0,,,,
116,19/06,211658.0,,,,
117,20/06,215793.0,,,,
118,21/06,219185.0,,,,
119,22/06,221973.0,,,,
120,23/06,229475.0,,,,
121,24/06,238822.0,,,,
122,25/06,248587.0,,,,
123,26/06,258508.0,,,,
124,27/06,265581.0,,,,
125,28/06,271737.0,,,,
126,29/06,275145.0,,,,
127,30/06,281380.0,,,,
128,01/07,289935.0,,,,
129,02/07,302179.0,,,,
130,03/07,310517.0,,,,
131,04/07,312530.0,,,,
132,05/07,320179.0,,,,
133,06/07,323070.0,,,,
134,07/07,332708.0,,,,
135,08/07,341365.0,,,,
136,09/07,349715.0,,,,
137,10/07,359110.0,,,,
138,11/07,366890.0,,,,
139,12/07,371997.0,,,,
140,13/07,374607.0,,,,
141,14/07,386607.0,,,,
142,15/07,393176.0,,,,
143,16/07,402048.0,,,,
144,17/07,407415.0,,,,
145,18/07,412027.0,,,,
146,19/07,415049.0,,,,
147,20/07,416434.0,,,,
148,21/07,422669.0,,,,
149,22/07,439446.0,,,,
0,23/07,444636.641393665,442040.45287484897,447232.829912481,440666.113690557,448607.16909677297
1,24/07,447702.839348064,444120.787112285,451284.89158384205,442224.56320091296,453181.115495214
2,25/07,451184.891982596,446986.107820059,455383.67614513205,444763.40574772,457606.37821747205
3,26/07,454066.811959213,449142.67112877,458990.952789656,446535.98843096104,461597.635487465
4,27/07,461699.588299237,456034.495956245,467364.680642228,453035.577220885,470363.59937758796
5,28/07,472076.4953681,465253.504399262,478899.486336938,461641.631157169,482511.359579031
6,29/07,481163.258897189,472663.99803461705,489662.519759761,468164.761112378,494161.75668199896
