,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,17/03,3.0,,,,
2,18/03,3.0,,,,
3,19/03,4.0,,,,
4,20/03,7.0,,,,
5,21/03,11.0,,,,
6,22/03,11.0,,,,
7,23/03,17.0,,,,
8,24/03,21.0,,,,
9,25/03,23.0,,,,
10,26/03,23.0,,,,
11,27/03,25.0,,,,
12,28/03,25.0,,,,
13,29/03,34.0,,,,
14,30/03,41.0,,,,
15,31/03,42.0,,,,
16,01/04,43.0,,,,
17,02/04,45.0,,,,
18,03/04,46.0,,,,
19,04/04,46.0,,,,
20,05/04,48.0,,,,
21,06/04,50.0,,,,
22,07/04,50.0,,,,
23,08/04,58.0,,,,
24,09/04,62.0,,,,
25,10/04,70.0,,,,
26,11/04,72.0,,,,
27,12/04,77.0,,,,
28,13/04,90.0,,,,
29,14/04,99.0,,,,
30,15/04,101.0,,,,
31,16/04,115.0,,,,
32,17/04,135.0,,,,
33,18/04,142.0,,,,
34,19/04,163.0,,,,
35,20/04,176.0,,,,
36,21/04,195.0,,,,
37,22/04,214.0,,,,
38,23/04,227.0,,,,
39,24/04,234.0,,,,
40,25/04,258.0,,,,
41,26/04,279.0,,,,
42,27/04,301.0,,,,
43,28/04,317.0,,,,
44,29/04,354.0,,,,
45,30/04,404.0,,,,
46,01/05,487.0,,,,
47,02/05,553.0,,,,
48,03/05,658.0,,,,
49,04/05,733.0,,,,
50,05/05,817.0,,,,
51,06/05,943.0,,,,
52,07/05,1014.0,,,,
53,08/05,1177.0,,,,
54,09/05,1335.0,,,,
55,10/05,1447.0,,,,
56,11/05,1460.0,,,,
57,12/05,1590.0,,,,
58,13/05,1694.0,,,,
59,14/05,1740.0,,,,
60,15/05,1785.0,,,,
61,16/05,1867.0,,,,
62,17/05,1996.0,,,,
63,18/05,2234.0,,,,
64,19/05,2482.0,,,,
65,20/05,2817.0,,,,
66,21/05,3103.0,,,,
67,22/05,3343.0,,,,
68,23/05,3867.0,,,,
69,24/05,4160.0,,,,
70,25/05,4501.0,,,,
71,26/05,4781.0,,,,
72,27/05,5251.0,,,,
73,28/05,5600.0,,,,
74,29/05,5841.0,,,,
75,30/05,6072.0,,,,
76,31/05,6219.0,,,,
77,01/06,6326.0,,,,
78,02/06,6465.0,,,,
79,03/06,6679.0,,,,
80,04/06,7021.0,,,,
81,05/06,7284.0,,,,
82,06/06,7525.0,,,,
83,07/06,7983.0,,,,
84,08/06,8127.0,,,,
85,09/06,8457.0,,,,
86,10/06,8746.0,,,,
87,11/06,9091.0,,,,
88,12/06,9295.0,,,,
89,13/06,9534.0,,,,
90,14/06,9642.0,,,,
91,15/06,9771.0,,,,
92,16/06,10003.0,,,,
93,17/06,10339.0,,,,
94,18/06,10664.0,,,,
95,19/06,10987.0,,,,
96,20/06,11263.0,,,,
97,21/06,11381.0,,,,
98,22/06,11539.0,,,,
99,23/06,11810.0,,,,
100,24/06,12022.0,,,,
0,25/06,12241.1970169053,12151.2658792505,12331.1281545601,12103.659210678,12378.7348231326
1,26/06,12460.3940338106,12299.290242186002,12621.4978254352,12214.0070464693,12706.781021151799
2,27/06,12679.5910507159,12439.9536402295,12919.2284612023,12313.0972579342,13046.0848434976
3,28/06,12898.7880676212,12572.7080129671,13224.8681222752,12400.0916590009,13397.4844762415
4,29/06,13117.9850845265,12697.882246725601,13538.0879223274,12475.4932379008,13760.4769311522
5,30/06,13337.1821014318,12815.908385043702,13858.4558178198,12539.962748206799,14134.4014546567
6,01/07,13556.3791183371,12927.1943256998,14185.563910974299,12594.1240157379,14518.634220936201
