,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,16/03,9.0,,,,
2,17/03,10.0,,,,
3,18/03,19.0,,,,
4,19/03,24.0,,,,
5,20/03,68.0,,,,
6,21/03,84.0,,,,
7,22/03,125.0,,,,
8,23/03,164.0,,,,
9,24/03,185.0,,,,
10,25/03,211.0,,,,
11,26/03,237.0,,,,
12,27/03,282.0,,,,
13,28/03,322.0,,,,
14,29/03,359.0,,,,
15,30/03,382.0,,,,
16,31/03,401.0,,,,
17,01/04,445.0,,,,
18,02/04,563.0,,,,
19,03/04,658.0,,,,
20,04/04,745.0,,,,
21,05/04,960.0,,,,
22,06/04,1045.0,,,,
23,07/04,1188.0,,,,
24,08/04,1394.0,,,,
25,09/04,1445.0,,,,
26,10/04,1558.0,,,,
27,11/04,1668.0,,,,
28,12/04,1747.0,,,,
29,13/04,1935.0,,,,
30,14/04,2070.0,,,,
31,15/04,2291.0,,,,
32,16/04,2412.0,,,,
33,17/04,2747.0,,,,
34,18/04,3062.0,,,,
35,19/04,3306.0,,,,
36,20/04,3485.0,,,,
37,21/04,3682.0,,,,
38,22/04,4116.0,,,,
39,23/04,4702.0,,,,
40,24/04,5121.0,,,,
41,25/04,5667.0,,,,
42,26/04,6260.0,,,,
43,27/04,6783.0,,,,
44,28/04,6985.0,,,,
45,29/04,7409.0,,,,
46,30/04,7861.0,,,,
47,01/05,8000.0,,,,
48,02/05,8309.0,,,,
49,03/05,8379.0,,,,
50,04/05,11040.0,,,,
51,05/05,11470.0,,,,
52,06/05,12310.0,,,,
53,07/05,13888.0,,,,
54,08/05,15134.0,,,,
55,09/05,15879.0,,,,
56,10/05,16692.0,,,,
57,11/05,17599.0,,,,
58,12/05,18412.0,,,,
59,13/05,19156.0,,,,
60,14/05,21077.0,,,,
61,15/05,23059.0,,,,
62,16/05,23795.0,,,,
63,17/05,24255.0,,,,
64,18/05,26363.0,,,,
65,19/05,28112.0,,,,
66,20/05,30560.0,,,,
67,21/05,31413.0,,,,
68,22/05,34573.0,,,,
69,23/05,35122.0,,,,
70,24/05,35595.0,,,,
71,25/05,36185.0,,,,
72,26/05,37021.0,,,,
0,27/05,38127.7176391874,37447.0485347267,38808.3867436481,37086.7240763843,39168.7112019904
1,28/05,39234.4352783747,38173.800324398,40295.0702323514,37612.33409538,40856.536461369506
2,29/05,40341.152917562096,38919.8336012081,41762.4722339161,38167.432604247,42514.8732308771
3,30/05,41447.870556749505,39663.4498996031,43232.2912138958,38718.8346636132,44176.906449885704
4,31/05,42554.588195936805,40397.6894210803,44711.4869707934,39255.8961801997,45853.2802116739
5,01/06,43661.3058351242,41119.7404315642,46202.8712386842,39774.3169778215,47548.294692426905
6,02/06,44768.0234743116,41828.3934669825,47707.6534816406,40272.247340801296,49263.7996078218
