,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,2.0,,,,
2,15/03,2.0,,,,
3,16/03,4.0,,,,
4,17/03,6.0,,,,
5,18/03,7.0,,,,
6,19/03,9.0,,,,
7,20/03,12.0,,,,
8,21/03,16.0,,,,
9,22/03,21.0,,,,
10,23/03,21.0,,,,
11,24/03,24.0,,,,
12,25/03,24.0,,,,
13,26/03,25.0,,,,
14,27/03,28.0,,,,
15,28/03,31.0,,,,
16,29/03,36.0,,,,
17,30/03,44.0,,,,
18,31/03,48.0,,,,
19,01/04,51.0,,,,
20,02/04,53.0,,,,
21,03/04,60.0,,,,
22,04/04,62.0,,,,
23,05/04,65.0,,,,
24,06/04,66.0,,,,
25,07/04,80.0,,,,
26,08/04,85.0,,,,
27,09/04,89.0,,,,
28,10/04,97.0,,,,
29,11/04,100.0,,,,
30,12/04,101.0,,,,
31,13/04,113.0,,,,
32,14/04,115.0,,,,
33,15/04,121.0,,,,
34,16/04,131.0,,,,
35,17/04,143.0,,,,
36,18/04,161.0,,,,
37,19/04,168.0,,,,
38,20/04,171.0,,,,
39,21/04,173.0,,,,
40,22/04,175.0,,,,
41,23/04,186.0,,,,
42,24/04,213.0,,,,
43,25/04,217.0,,,,
44,26/04,234.0,,,,
45,27/04,238.0,,,,
46,28/04,240.0,,,,
47,29/04,249.0,,,,
48,30/04,255.0,,,,
49,01/05,261.0,,,,
50,02/05,266.0,,,,
51,03/05,272.0,,,,
52,04/05,274.0,,,,
53,05/05,283.0,,,,
54,06/05,288.0,,,,
55,07/05,311.0,,,,
56,08/05,326.0,,,,
57,09/05,346.0,,,,
58,10/05,362.0,,,,
59,11/05,385.0,,,,
60,12/05,405.0,,,,
61,13/05,430.0,,,,
62,14/05,452.0,,,,
63,15/05,479.0,,,,
64,16/05,508.0,,,,
65,17/05,570.0,,,,
66,18/05,613.0,,,,
67,19/05,642.0,,,,
68,20/05,693.0,,,,
69,21/05,746.0,,,,
70,22/05,805.0,,,,
71,23/05,858.0,,,,
72,24/05,1023.0,,,,
73,25/05,1100.0,,,,
74,26/05,1186.0,,,,
75,27/05,1262.0,,,,
76,28/05,1356.0,,,,
77,29/05,1418.0,,,,
78,30/05,1489.0,,,,
79,31/05,1568.0,,,,
80,01/06,1646.0,,,,
81,02/06,1802.0,,,,
82,03/06,1925.0,,,,
83,04/06,1997.0,,,,
84,05/06,2132.0,,,,
85,06/06,2253.0,,,,
86,07/06,2324.0,,,,
87,08/06,2455.0,,,,
88,09/06,2597.0,,,,
89,10/06,2853.0,,,,
90,11/06,3001.0,,,,
91,12/06,3235.0,,,,
92,13/06,3433.0,,,,
93,14/06,3551.0,,,,
94,15/06,3785.0,,,,
95,16/06,4164.0,,,,
96,17/06,4274.0,,,,
97,18/06,4666.0,,,,
0,19/06,4935.460990638189,4888.41821939317,4982.50376188321,4863.5152805691605,5007.40670070723
1,20/06,5163.40728829781,5096.27772873748,5230.5368478581295,5060.7414864887605,5266.07309010685
2,21/06,5502.45082376134,5407.53526280518,5597.3663847175,5357.289999922439,5647.611647600239
3,22/06,5756.22227257261,5622.07896409593,5890.365581049289,5551.067786050171,5961.37675909505
4,23/06,6029.969407942181,5860.468330514979,6199.47048536938,5770.739880211971,6289.19893567239
5,24/06,6333.04074902104,6121.777856596279,6544.303641445799,6009.942036839039,6656.139461203051
6,25/06,6595.85064812447,6339.04806360919,6852.65323263974,6203.1049870688,6988.5963091801295
