,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,06/03,1.0,,,,
2,07/03,2.0,,,,
3,08/03,2.0,,,,
4,09/03,2.0,,,,
5,10/03,2.0,,,,
6,11/03,3.0,,,,
7,12/03,3.0,,,,
8,13/03,7.0,,,,
9,14/03,7.0,,,,
10,15/03,9.0,,,,
11,16/03,10.0,,,,
12,17/03,14.0,,,,
13,18/03,27.0,,,,
14,19/03,31.0,,,,
15,20/03,34.0,,,,
16,21/03,41.0,,,,
17,22/03,55.0,,,,
18,23/03,63.0,,,,
19,24/03,79.0,,,,
20,25/03,91.0,,,,
21,26/03,108.0,,,,
22,27/03,123.0,,,,
23,28/03,127.0,,,,
24,29/03,156.0,,,,
25,30/03,176.0,,,,
26,31/03,217.0,,,,
27,01/04,246.0,,,,
28,02/04,267.0,,,,
29,03/04,290.0,,,,
30,04/04,336.0,,,,
31,05/04,401.0,,,,
32,06/04,437.0,,,,
33,07/04,462.0,,,,
34,08/04,515.0,,,,
35,09/04,568.0,,,,
36,10/04,616.0,,,,
37,11/04,640.0,,,,
38,12/04,674.0,,,,
39,13/04,723.0,,,,
40,14/04,776.0,,,,
41,15/04,884.0,,,,
42,16/04,967.0,,,,
43,17/04,1064.0,,,,
44,18/04,1200.0,,,,
45,19/04,1249.0,,,,
46,20/04,1377.0,,,,
47,21/04,1504.0,,,,
48,22/04,1645.0,,,,
49,23/04,1845.0,,,,
50,24/04,1979.0,,,,
51,25/04,2116.0,,,,
52,26/04,2248.0,,,,
53,27/04,2356.0,,,,
54,28/04,2564.0,,,,
55,29/04,2676.0,,,,
56,30/04,2867.0,,,,
57,01/05,3140.0,,,,
58,02/05,3315.0,,,,
59,03/05,3566.0,,,,
60,04/05,3734.0,,,,
61,05/05,4040.0,,,,
62,06/05,4301.0,,,,
63,07/05,4528.0,,,,
64,08/05,4818.0,,,,
65,09/05,5174.0,,,,
66,10/05,5558.0,,,,
67,11/05,5808.0,,,,
68,12/05,6204.0,,,,
69,13/05,6547.0,,,,
70,14/05,6955.0,,,,
71,15/05,8128.0,,,,
72,16/05,8314.0,,,,
73,17/05,8443.0,,,,
74,18/05,8881.0,,,,
75,19/05,11013.0,,,,
76,20/05,11197.0,,,,
77,21/05,11941.0,,,,
78,22/05,12557.0,,,,
79,23/05,13000.0,,,,
80,24/05,13899.0,,,,
81,25/05,14204.0,,,,
82,26/05,14566.0,,,,
83,27/05,15070.0,,,,
84,28/05,15963.0,,,,
85,29/05,16917.0,,,,
86,30/05,17626.0,,,,
87,31/05,18392.0,,,,
88,01/06,18898.0,,,,
89,02/06,21430.0,,,,
90,03/06,22451.0,,,,
91,04/06,23463.0,,,,
92,05/06,26419.0,,,,
93,06/06,27396.0,,,,
94,07/06,28250.0,,,,
95,08/06,28715.0,,,,
96,09/06,30481.0,,,,
97,10/06,32685.0,,,,
98,11/06,33891.0,,,,
99,12/06,34665.0,,,,
100,13/06,35788.0,,,,
101,14/06,36401.0,,,,
102,15/06,37620.0,,,,
103,16/06,39206.0,,,,
104,17/06,40926.0,,,,
105,18/06,41577.0,,,,
106,19/06,43922.0,,,,
107,20/06,45304.0,,,,
108,21/06,46279.0,,,,
109,22/06,47086.0,,,,
110,23/06,49084.0,,,,
111,24/06,51931.0,,,,
112,25/06,54291.0,,,,
113,26/06,56422.0,,,,
0,27/06,58301.0146939372,57733.663696065196,58868.3656918093,57433.326219810595,59168.7031680639
1,28/06,60180.0293878745,59292.418600479905,61067.6401752691,58822.545832506796,61537.512943242196
2,29/06,62059.0440818117,60865.5325838768,63252.5555797467,60233.725761442096,63884.362402181396
3,30/06,63938.05877574901,62435.2913477807,65440.826203717304,61639.7743249738,66236.3432265242
4,01/07,65817.0734696862,63996.09953224441,67638.04740712809,63032.1341585198,68602.01278085269
5,02/07,67696.0881636235,65545.7508549886,69846.4254722584,64407.4310445117,70984.7452827353
6,03/07,69575.1028575607,67083.3372680396,72066.8684470819,65764.2762434149,73385.92947170661
