,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,1.0,,,,
3,22/03,2.0,,,,
4,23/03,6.0,,,,
5,24/03,7.0,,,,
6,25/03,9.0,,,,
7,26/03,11.0,,,,
8,27/03,11.0,,,,
9,28/03,11.0,,,,
10,29/03,11.0,,,,
11,30/03,18.0,,,,
12,31/03,25.0,,,,
13,01/04,28.0,,,,
14,02/04,41.0,,,,
15,03/04,44.0,,,,
16,04/04,60.0,,,,
17,05/04,60.0,,,,
18,06/04,76.0,,,,
19,07/04,78.0,,,,
20,08/04,90.0,,,,
21,09/04,108.0,,,,
22,10/04,112.0,,,,
23,11/04,121.0,,,,
24,12/04,123.0,,,,
25,13/04,134.0,,,,
26,14/04,138.0,,,,
27,15/04,151.0,,,,
28,16/04,156.0,,,,
29,17/04,162.0,,,,
30,18/04,171.0,,,,
31,19/04,174.0,,,,
32,20/04,181.0,,,,
33,21/04,181.0,,,,
34,22/04,205.0,,,,
35,23/04,220.0,,,,
36,24/04,241.0,,,,
37,25/04,246.0,,,,
38,26/04,249.0,,,,
39,27/04,256.0,,,,
40,28/04,263.0,,,,
41,29/04,292.0,,,,
42,30/04,302.0,,,,
43,01/05,320.0,,,,
44,02/05,333.0,,,,
45,03/05,337.0,,,,
46,04/05,344.0,,,,
47,05/05,366.0,,,,
48,06/05,385.0,,,,
49,07/05,419.0,,,,
50,08/05,464.0,,,,
51,09/05,502.0,,,,
52,10/05,519.0,,,,
53,11/05,545.0,,,,
54,12/05,604.0,,,,
55,13/05,673.0,,,,
56,14/05,734.0,,,,
57,15/05,792.0,,,,
58,16/05,857.0,,,,
59,17/05,901.0,,,,
60,18/05,941.0,,,,
61,19/05,1005.0,,,,
62,20/05,1090.0,,,,
63,21/05,1187.0,,,,
64,22/05,1271.0,,,,
65,23/05,1363.0,,,,
66,24/05,1464.0,,,,
67,25/05,1594.0,,,,
68,26/05,1744.0,,,,
69,27/05,1909.0,,,,
70,28/05,2085.0,,,,
71,29/05,2262.0,,,,
72,30/05,2413.0,,,,
73,31/05,2485.0,,,,
74,01/06,2636.0,,,,
75,02/06,2817.0,,,,
76,03/06,3029.0,,,,
77,04/06,3388.0,,,,
78,05/06,3593.0,,,,
79,06/06,3788.0,,,,
80,07/06,4033.0,,,,
81,08/06,4243.0,,,,
82,09/06,4504.0,,,,
83,10/06,4762.0,,,,
0,11/06,5019.82161372561,4985.1450504477,5054.498177003529,4966.78838669081,5072.85484076042
1,12/06,5265.04836593841,5194.33477929873,5335.761952578089,5156.901267719601,5373.19546415722
2,13/06,5518.50034297837,5415.60965654772,5621.39102940902,5361.14261725706,5675.85806869967
3,14/06,5766.58073864853,5625.250873460911,5907.91060383615,5550.43536209482,5982.72611520224
4,15/06,6018.16910972589,5837.132429032261,6199.20579041952,5741.29739923065,6295.040820221129
5,16/06,6267.46655554115,6042.68410835064,6492.24900273167,5923.6914686113005,6611.241642471011
6,17/06,6518.26011747677,6247.565959947471,6788.954275006071,6104.26912886026,6932.25110609327
