,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,2.0,,,,
3,22/03,2.0,,,,
4,23/03,8.0,,,,
5,24/03,8.0,,,,
6,25/03,8.0,,,,
7,26/03,10.0,,,,
8,27/03,13.0,,,,
9,28/03,15.0,,,,
10,29/03,21.0,,,,
11,30/03,30.0,,,,
12,31/03,51.0,,,,
13,01/04,70.0,,,,
14,02/04,80.0,,,,
15,03/04,87.0,,,,
16,04/04,95.0,,,,
17,05/04,132.0,,,,
18,06/04,171.0,,,,
19,07/04,229.0,,,,
20,08/04,272.0,,,,
21,09/04,293.0,,,,
22,10/04,344.0,,,,
23,11/04,398.0,,,,
24,12/04,445.0,,,,
25,13/04,478.0,,,,
26,14/04,630.0,,,,
27,15/04,695.0,,,,
28,16/04,797.0,,,,
29,17/04,1040.0,,,,
30,18/04,1205.0,,,,
31,19/04,1320.0,,,,
32,20/04,1396.0,,,,
33,21/04,1604.0,,,,
34,22/04,1757.0,,,,
35,23/04,1951.0,,,,
36,24/04,2105.0,,,,
37,25/04,2223.0,,,,
38,26/04,2410.0,,,,
39,27/04,2528.0,,,,
40,28/04,2804.0,,,,
41,29/04,3190.0,,,,
42,30/04,3506.0,,,,
43,01/05,3805.0,,,,
44,02/05,4040.0,,,,
45,03/05,4227.0,,,,
46,04/05,4530.0,,,,
47,05/05,5028.0,,,,
48,06/05,5389.0,,,,
49,07/05,5909.0,,,,
50,08/05,6765.0,,,,
51,09/05,7599.0,,,,
52,10/05,8144.0,,,,
53,11/05,8526.0,,,,
54,12/05,9112.0,,,,
55,13/05,9801.0,,,,
56,14/05,10739.0,,,,
57,15/05,11592.0,,,,
58,16/05,12492.0,,,,
59,17/05,13238.0,,,,
60,18/05,14198.0,,,,
61,19/05,15114.0,,,,
62,20/05,16058.0,,,,
63,21/05,17212.0,,,,
64,22/05,18767.0,,,,
65,23/05,21191.0,,,,
66,24/05,22786.0,,,,
67,25/05,24278.0,,,,
68,26/05,26145.0,,,,
69,27/05,27979.0,,,,
70,28/05,30482.0,,,,
71,29/05,32620.0,,,,
72,30/05,34639.0,,,,
73,31/05,35297.0,,,,
74,01/06,36625.0,,,,
75,02/06,38174.0,,,,
76,03/06,40629.0,,,,
77,04/06,43313.0,,,,
78,05/06,45470.0,,,,
79,06/06,47593.0,,,,
80,07/06,48537.0,,,,
81,08/06,49371.0,,,,
82,09/06,52069.0,,,,
83,10/06,53508.0,,,,
84,11/06,55680.0,,,,
85,12/06,57605.0,,,,
86,13/06,58859.0,,,,
87,14/06,59850.0,,,,
88,15/06,60592.0,,,,
89,16/06,62711.0,,,,
90,17/06,64735.0,,,,
91,18/06,66091.0,,,,
92,19/06,68500.0,,,,
93,20/06,69673.0,,,,
94,21/06,70059.0,,,,
95,22/06,70689.0,,,,
96,23/06,72021.0,,,,
97,24/06,73314.0,,,,
98,25/06,74925.0,,,,
99,26/06,76698.0,,,,
100,27/06,78115.0,,,,
101,28/06,78512.0,,,,
102,29/06,78969.0,,,,
103,30/06,80451.0,,,,
104,01/07,83256.0,,,,
0,02/07,85311.446460758,84743.76027047371,85879.13265104231,84443.2453540744,86179.6475674416
1,03/07,86888.9321260022,85816.6512847458,87961.2129672585,85249.0200953991,88528.84415660519
2,04/07,88466.4177912463,86958.3866445738,89974.4489379188,86160.0831774013,90772.7524050913
3,05/07,90043.9034564905,88109.79026420061,91978.0166487804,87085.93258678059,93001.87432620038
4,06/07,91621.38912173471,89255.99170780712,93986.7865356622,88003.82595450288,95238.95228896641
5,07/07,93198.8747869788,90391.29536432051,96006.45420963712,88905.05259512061,97492.6969788371
6,08/07,94776.360452223,91513.172329195,98039.5485752509,89785.74488288711,99766.9760215589
